position,name,fdpts,salary,team,matchup,score,mins,line,date,cleanname,location
PG,"Daniels, Troy",2,3500.0,hou,@ lal,108-90,9,2pt 0-5fg 2-2ft,2014-10-28,Troy Daniels,Away
PF,"Davis, Anthony^",73.4,10100.0,nor,v orl,101-84,36,26pt 17rb 2as 3st 9bl 10-22fg 6-9ft,2014-10-28,Anthony Davis,Home
PF,"Jones, Terrence^",42.1,5700.0,hou,@ lal,108-90,31,16pt 13rb 3as 2st 2bl 2to 8-16fg 0-1ft,2014-10-28,Terrence Jones,Away
PF,"Duncan, Tim^",33.6,7900.0,sas,v dal,101-100,30,14pt 13rb 2as 1st 2bl 5to 5-10fg 4-5ft,2014-10-28,Tim Duncan,Home
PF,"Anderson, Ryan",32.8,6500.0,nor,v orl,101-84,22,22pt 9rb 3trey 9-22fg 1-3ft,2014-10-28,Ryan Anderson,Home
SF,"Harris, Tobias^",32.6,6400.0,orl,@ nor,84-101,37,25pt 8rb 1st 4to 1trey 9-18fg 6-6ft,2014-10-28,Tobias Harris,Away
PF,"Boozer, Carlos^",30.4,6600.0,lal,v hou,90-108,28,17pt 7rb 2as 1st 7-13fg 3-3ft,2014-10-28,Carlos Boozer,Home
PF,"Nowitzki, Dirk^",29.2,7900.0,dal,@ sas,100-101,32,18pt 6rb 2as 1st 1to 7-11fg 4-4ft,2014-10-28,Dirk Nowitzki,Away
SF,"Ariza, Trevor^",24.6,6100.0,hou,@ lal,108-90,30,16pt 3rb 2as 2st 2to 5trey 5-10fg 1-1ft,2014-10-28,Trevor Ariza,Away
PF,"Davis, Ed",24.2,3700.0,lal,v hou,90-108,22,11pt 6rb 1st 2bl 5-7fg 1-2ft,2014-10-28,Ed Davis,Home
PF,"Diaw, Boris",20.8,4200.0,sas,v dal,101-100,33,5pt 9rb 6as 4to 1trey 2-6fg 0-0ft,2014-10-28,Boris Diaw,Home
SF,"Papanikolaou, Kostas",19.2,3500.0,hou,@ lal,108-90,20,4pt 6rb 4as 2st 2to 2-6fg 0-0ft,2014-10-28,Kostas Papanikolaou,Away
PF,"Gordon, Aaron",15.6,3500.0,orl,@ nor,84-101,28,11pt 3rb 1st 1bl 3to 1trey 5-8fg 0-0ft,2014-10-28,Aaron Gordon,Away
SF,"Parsons, Chandler^",14.8,6800.0,dal,@ sas,100-101,34,5pt 4rb 2st 1bl 1to 1trey 2-10fg 0-0ft,2014-10-28,Chandler Parsons,Away
SF,"Johnson, Wesley^",9.4,4600.0,lal,v hou,90-108,23,7pt 2rb 1trey 3-7fg 0-0ft,2014-10-28,Wesley Johnson,Home
SF,"Jefferson, Richard",8.9,3500.0,dal,@ sas,100-101,13,6pt 2rb 1as 1to 1trey 1-3fg 3-4ft,2014-10-28,Richard Jefferson,Away
PF,"Motiejunas, Donatas",8,3800.0,hou,@ lal,108-90,16,4pt 5rb 2to 0-0fg 4-6ft,2014-10-28,Donatas Motiejunas,Away
PF,"Black, Tarik",4.4,3500.0,hou,@ lal,108-90,24,2pt 2rb 1-2fg 0-0ft,2014-10-28,Tarik Black,Away
SF,"Crowder, Jae",4,3500.0,dal,@ sas,100-101,11,5pt 1to 2-2fg 1-1ft,2014-10-28,Jae Crowder,Away
SF,"Salmons, John",3.9,3500.0,nor,v orl,101-84,10,0pt 2rb 1as 0-0fg 0-0ft,2014-10-28,John Salmons,Home
SF,"Aminu, Al-Farouq",1.4,4400.0,dal,@ sas,100-101,5,0pt 2rb 1to 0-2fg 0-0ft,2014-10-28,Al Aminu-Farouq,Away
PF,"Randle, Julius",1,5500.0,lal,v hou,90-108,14,2pt 1to 1-3fg 0-2ft,2014-10-28,Julius Randle,Home
PF,"Smith, Greg",0,3500.0,dal,@ sas,100-101,2,0pt 0-0fg 0-0ft,2014-10-28,Greg Smith,Away
SF,"Babbitt, Luke",0,3500.0,nor,v orl,101-84,2,0pt 0-0fg 0-0ft,2014-10-28,Luke Babbitt,Home
C,"Vucevic, Nikola^",53.1,8100.0,orl,@ nor,84-101,35,15pt 23rb 1as 1st 4bl 1to 7-15fg 1-2ft,2014-10-28,Nikola Vucevic,Away
C,"Asik, Omer^",44.4,4900.0,nor,v orl,101-84,34,14pt 17rb 2as 5bl 3to 7-10fg 0-3ft,2014-10-28,Omer Asik,Home
C,"Howard, Dwight^",28.7,9500.0,hou,@ lal,108-90,21,13pt 11rb 1as 1bl 1to 3-5fg 7-16ft,2014-10-28,Dwight Howard,Away
C,"Chandler, Tyson^",23,5700.0,dal,@ sas,100-101,28,8pt 10rb 2st 1to 4-8fg 0-0ft,2014-10-28,Tyson Chandler,Away
C,"O'Quinn, Kyle^",20.9,4600.0,orl,@ nor,84-101,21,4pt 2rb 5as 1st 3bl 1to 2-8fg 0-0ft,2014-10-28,O'Kyle Quinn,Away
C,"Hill, Jordan^",20.5,5100.0,lal,v hou,90-108,23,7pt 10rb 1as 1bl 2to 2-7fg 3-4ft,2014-10-28,Jordan Hill,Home
C,"Wright, Brandan",14,3800.0,dal,@ sas,100-101,18,6pt 5rb 1bl 2-2fg 2-2ft,2014-10-28,Brandan Wright,Away
C,"Dedmon, Dewayne",7.6,3500.0,orl,@ nor,84-101,8,3pt 3rb 1bl 1to 1-2fg 1-2ft,2014-10-28,Dewayne Dedmon,Away
C,"Baynes, Aron",6.4,3500.0,sas,v dal,101-100,18,4pt 2rb 1bl 2to 2-3fg 0-0ft,2014-10-28,Aron Baynes,Home
C,"Sacre, Robert",4,3600.0,lal,v hou,90-108,7,2pt 1st 1-5fg 0-0ft,2014-10-28,Robert Sacre,Home
C,"Bonner, Matt^",2.4,3500.0,sas,v dal,101-100,15,0pt 2rb 0-2fg 0-0ft,2014-10-28,Matt Bonner,Home
C,"Withey, Jeff",1.2,3500.0,nor,v orl,101-84,2,0pt 1rb 0-1fg 0-0ft,2014-10-28,Jeff Withey,Home
C,"Ajinca, Alexis",1,3700.0,nor,v orl,101-84,2,2pt 1to 1-1fg 0-0ft,2014-10-28,Alexis Ajinca,Home
PG,"Westbrook, Russell^",54.6,1e4,okc,@ por,89-106,33,38pt 3rb 6as 3st 2to 1trey 11-26fg 15-16ft,2014-10-29,Russell Westbrook,Away
PG,"Curry, Stephen^",51.5,9600.0,gsw,@ sac,95-77,37,24pt 10rb 5as 6st 4to 2trey 7-17fg 8-9ft,2014-10-29,Stephen Curry,Away
PG,"Knight, Brandon^",49.1,6300.0,mil,@ cha,106-108,39,22pt 8rb 13as 1bl 4to 2trey 5-17fg 10-10ft,2014-10-29,Brandon Knight,Away
PG,"Wroten, Tony^",47.1,5500.0,phi,@ ind,91-103,35,22pt 8rb 7as 3st 1to 1trey 9-21fg 3-8ft,2014-10-29,Tony Wroten,Away
PG,"Walker, Kemba^",44.7,7400.0,cha,v mil,108-106,39,26pt 6rb 5as 1st 1bl 3trey 9-26fg 5-11ft,2014-10-29,Kemba Walker,Home
SG,"Bryant, Kobe^",42.3,9e3,lal,@ pho,99-119,28,31pt 4rb 3as 2st 2to 2trey 11-25fg 7-7ft,2014-10-29,Kobe Bryant,Away
PG,"Lowry, Kyle^",41.2,8500.0,tor,v atl,109-102,34,11pt 6rb 10as 3st 1bl 3-11fg 5-7ft,2014-10-29,Kyle Lowry,Home
PG,"Collison, Darren^",40.8,5500.0,sac,v gsw,77-95,36,13pt 4rb 8as 5st 1bl 1to 1trey 4-12fg 4-6ft,2014-10-29,Darren Collison,Home
PG,"Rondo, Rajon^",40.4,8100.0,bos,v bkn,121-105,30,13pt 7rb 12as 1st 1bl 3to 1trey 6-9fg 0-4ft,2014-10-29,Rajon Rondo,Home
SG,"DeRozan, DeMar^",39.7,8200.0,tor,v atl,109-102,35,15pt 11rb 3as 6st 5to 4-16fg 7-10ft,2014-10-29,DeMar DeRozan,Home
SG,"Harden, James^",37.4,9900.0,hou,@ uta,104-93,38,18pt 7rb 10as 1bl 6to 1trey 6-18fg 5-6ft,2014-10-29,James Harden,Away
PG,"Williams, Deron^",36.6,7700.0,bkn,@ bos,105-121,39,19pt 3rb 8as 2st 1bl 4to 6-16fg 7-7ft,2014-10-29,Deron Williams,Away
SG,"Bledsoe, Eric^",35.7,7400.0,pho,v lal,119-99,26,16pt 6rb 9as 1to 3trey 5-7fg 3-3ft,2014-10-29,Eric Bledsoe,Home
PG,"Teague, Jeff^",35.6,6500.0,atl,@ tor,102-109,32,20pt 3rb 8as 3st 6to 1trey 8-12fg 3-4ft,2014-10-29,Jeff Teague,Away
PG,"Sloan, Donald^",35,3500.0,ind,v phi,103-91,34,16pt 10rb 6as 1st 4to 1trey 6-13fg 3-4ft,2014-10-29,Donald Sloan,Home
PG,"Wall, John^",34.1,8600.0,was,@ mia,95-107,37,16pt 3rb 11as 2st 6to 6-13fg 4-4ft,2014-10-29,John Wall,Away
SG,"Stephenson, Lance^",32.6,7200.0,cha,v mil,108-106,40,7pt 13rb 8as 2to 3-12fg 1-2ft,2014-10-29,Lance Stephenson,Home
SG,"Matthews, Wes^",31.8,5800.0,por,v okc,106-89,35,22pt 4rb 2as 1bl 5trey 8-12fg 1-2ft,2014-10-29,Wes Matthews,Home
SG,"Thompson, Klay^",31.4,6400.0,gsw,@ sac,95-77,38,19pt 2rb 6as 2st 1bl 5to 2trey 4-14fg 9-10ft,2014-10-29,Klay Thompson,Away
SG,"Johnson, Joe^",30.7,5900.0,bkn,@ bos,105-121,34,19pt 6rb 3as 1st 2to 2trey 7-19fg 3-5ft,2014-10-29,Joe Johnson,Away
SG,"Korver, Kyle^",29.4,4400.0,atl,@ tor,102-109,33,20pt 2rb 2as 3bl 2to 6trey 7-10fg 0-0ft,2014-10-29,Kyle Korver,Away
PG,"Shved, Alexey",29.1,3500.0,phi,@ ind,91-103,24,18pt 3rb 5as 3trey 5-11fg 5-6ft,2014-10-29,Alexey Shved,Away
SG,"Wade, Dwyane^",28.7,8e3,mia,v was,107-95,31,21pt 1rb 3as 2st 2to 2trey 8-16fg 3-3ft,2014-10-29,Dwyane Wade,Home
SG,"Stuckey, Rodney",28.1,5600.0,ind,v phi,103-91,16,16pt 3rb 5as 1st 1to 2trey 5-9fg 4-6ft,2014-10-29,Rodney Stuckey,Home
PG,"Dragic, Goran^",28,8100.0,pho,v lal,119-99,26,18pt 5rb 2as 1st 1to 6-12fg 6-6ft,2014-10-29,Goran Dragic,Home
PG,"Conley, Mike^",27.2,7800.0,mem,v min,105-101,34,16pt 1rb 6as 1st 1to 1trey 7-14fg 1-3ft,2014-10-29,Mike Conley,Home
PG,"Thomas, Isaiah",26.7,6500.0,pho,v lal,119-99,20,23pt 1rb 3as 2to 5trey 9-11fg 0-2ft,2014-10-29,Isaiah Thomas,Home
PG,"Cole, Norris^",26.6,4300.0,mia,v was,107-95,28,23pt 3rb 2as 3to 3trey 9-15fg 2-2ft,2014-10-29,Norris Cole,Home
SG,"Mayo, O.J.",26.1,4500.0,mil,@ cha,106-108,24,17pt 3rb 3as 1bl 1to 3trey 6-10fg 2-2ft,2014-10-29,O Mayo.J.,Away
PG,"Brooks, Aaron",25.4,4700.0,chi,@ nyk,104-80,24,13pt 2rb 6as 1st 1to 1trey 4-5fg 4-4ft,2014-10-29,Aaron Brooks,Away
SG,"Ross, Terrence^",25.1,4800.0,tor,v atl,109-102,28,13pt 3rb 3as 1st 1bl 3trey 5-11fg 0-0ft,2014-10-29,Terrence Ross,Home
PG,"Rose, Derrick^",25.1,8400.0,chi,@ nyk,104-80,21,13pt 3rb 5as 2st 3to 3-7fg 7-8ft,2014-10-29,Derrick Rose,Away
PG,"Rubio, Ricky^",24.7,6800.0,min,@ mem,101-105,36,12pt 6rb 7as 1st 7to 5-12fg 2-3ft,2014-10-29,Ricky Rubio,Away
SG,"Burks, Alec^",24.6,5100.0,uta,v hou,93-104,36,18pt 3rb 2as 1st 2to 1trey 6-11fg 5-6ft,2014-10-29,Alec Burks,Home
PG,"Augustin, D.J.",23.7,3900.0,det,@ den,79-89,28,15pt 6rb 3as 3to 2trey 5-10fg 3-4ft,2014-10-29,D Augustin.J.,Away
PG,"Smart, Marcus",23.4,5600.0,bos,v bkn,121-105,28,10pt 2rb 2as 4st 1trey 3-7fg 3-3ft,2014-10-29,Marcus Smart,Home
PG,"Williams, Maurice",23,4400.0,min,@ mem,101-105,26,18pt 4as 1st 3to 2trey 6-9fg 4-4ft,2014-10-29,Maurice Williams,Away
SG,"Lee, Courtney^",22.7,4100.0,mem,v min,105-101,36,14pt 1rb 3as 2st 1bl 3to 2trey 5-11fg 2-2ft,2014-10-29,Courtney Lee,Home
SG,"Afflalo, Arron^",22.3,6200.0,den,v det,89-79,40,15pt 4rb 1as 1st 1to 2trey 6-16fg 1-3ft,2014-10-29,Arron Afflalo,Home
SG,"Allen, Tony^",22.1,4800.0,mem,v min,105-101,33,8pt 3rb 5as 3st 3to 4-8fg 0-0ft,2014-10-29,Tony Allen,Home
PG,"Price, Ronnie",21.1,3500.0,lal,@ pho,99-119,30,6pt 3rb 5as 2st 1trey 2-7fg 1-2ft,2014-10-29,Ronnie Price,Away
PG,"Lillard, Damian^",20.9,8300.0,por,v okc,106-89,30,10pt 2rb 5as 1st 1to 2trey 3-10fg 2-2ft,2014-10-29,Damian Lillard,Home
SG,"Caldwell-Pope, Kentavious^",20.9,3800.0,det,@ den,79-89,36,7pt 7rb 3as 1bl 1to 1trey 3-19fg 0-0ft,2014-10-29,Caldwell-Kentavious Pope,Away
PG,"Burke, Trey^",20.2,6100.0,uta,v hou,93-104,38,15pt 1rb 4as 2to 6-16fg 3-4ft,2014-10-29,Trey Burke,Home
SG,"Antetokounmpo, Giannis",19.5,5900.0,mil,@ cha,106-108,24,10pt 5rb 1as 1bl 1trey 3-6fg 3-3ft,2014-10-29,Giannis Antetokounmpo,Away
PG,"Jack, Jarrett",19.4,4600.0,bkn,@ bos,105-121,30,11pt 2rb 2as 2st 1to 5-9fg 1-2ft,2014-10-29,Jarrett Jack,Away
PG,"Temple, Garrett^",18.9,3500.0,was,@ mia,95-107,31,6pt 7rb 1as 2st 1bl 3to 2trey 2-8fg 0-0ft,2014-10-29,Garrett Temple,Away
PG,"Vasquez, Greivis",18.9,4300.0,tor,v atl,109-102,17,12pt 2rb 3as 2trey 5-11fg 0-0ft,2014-10-29,Greivis Vasquez,Home
PG,"Chalmers, Mario",17.8,4900.0,mia,v was,107-95,25,8pt 4rb 4as 1st 3to 1trey 3-7fg 1-1ft,2014-10-29,Mario Chalmers,Home
SG,"Roberson, Andre^",17.4,3500.0,okc,@ por,89-106,35,6pt 7rb 2as 1st 2to 3-4fg 0-0ft,2014-10-29,Andre Roberson,Away
PG,"Prigioni, Pablo",16.9,3900.0,nyk,v chi,80-104,17,4pt 2rb 3as 3st 1-4fg 2-3ft,2014-10-29,Pablo Prigioni,Home
SG,"Ellington, Wayne",16.2,3500.0,lal,@ pho,99-119,25,13pt 1rb 1st 1trey 6-9fg 0-0ft,2014-10-29,Wayne Ellington,Away
SG,"Neal, Gary",15.8,3500.0,cha,v mil,108-106,24,6pt 4rb 2as 1st 2-11fg 2-2ft,2014-10-29,Gary Neal,Home
PG,"Larkin, Shane^",14.9,3500.0,nyk,v chi,80-104,26,6pt 2rb 3as 1st 2-6fg 2-2ft,2014-10-29,Shane Larkin,Home
PG,"Blake, Steve",14.5,4200.0,por,v okc,106-89,20,1pt 5rb 5as 0-4fg 1-2ft,2014-10-29,Steve Blake,Home
SG,"Bradley, Avery^",14,6200.0,bos,v bkn,121-105,30,15pt 1to 1trey 7-13fg 0-0ft,2014-10-29,Avery Bradley,Home
PG,"Hinrich, Kirk^",13.2,4600.0,chi,@ nyk,104-80,24,12pt 1rb 1st 2to 3trey 4-10fg 1-1ft,2014-10-29,Kirk Hinrich,Away
PG,"Beverley, Patrick^",12.4,4900.0,hou,@ uta,104-93,31,7pt 2rb 2as 1st 2to 1trey 3-6fg 0-0ft,2014-10-29,Patrick Beverley,Away
SG,"Thornton, Marcus",12,4800.0,bos,v bkn,121-105,14,10pt 1bl 1trey 4-6fg 1-1ft,2014-10-29,Marcus Thornton,Home
SG,"Smith, J.R.",11.7,6e3,nyk,v chi,80-104,22,6pt 1rb 3as 2-8fg 2-2ft,2014-10-29,J Smith.R.,Home
PG,"Mack, Shelvin",10.9,3800.0,atl,@ tor,102-109,15,2pt 2rb 5as 1to 1-6fg 0-0ft,2014-10-29,Shelvin Mack,Away
PG,"Roberts, Brian",10.5,4200.0,cha,v mil,108-106,14,4pt 3as 1st 2-4fg 0-0ft,2014-10-29,Brian Roberts,Home
SG,"Foye, Randy",10,5600.0,den,v det,89-79,15,7pt 2st 1to 1trey 2-6fg 2-2ft,2014-10-29,Randy Foye,Home
SG,"Williams, Louis",9.7,4500.0,tor,v atl,109-102,15,8pt 1rb 1as 1to 1trey 3-8fg 1-1ft,2014-10-29,Louis Williams,Home
PG,"Napier, Shabazz",9.6,3900.0,mia,v was,107-95,15,2pt 3rb 2as 1st 1to 1-2fg 0-0ft,2014-10-29,Shabazz Napier,Home
SG,"Clarkson, Jordan",9.4,3500.0,lal,@ pho,99-119,15,4pt 2rb 2as 2-6fg 0-0ft,2014-10-29,Jordan Clarkson,Away
SG,"Anderson, Alan",8.9,3500.0,bkn,@ bos,105-121,25,4pt 2rb 1as 1bl 1to 1-4fg 2-2ft,2014-10-29,Alan Anderson,Away
PG,"Jennings, Brandon^",8.8,7400.0,det,@ den,79-89,20,4pt 4rb 2as 3to 2-4fg 0-0ft,2014-10-29,Brandon Jennings,Away
SG,"Hardaway Jr., Tim",8.5,4600.0,nyk,v chi,80-104,18,7pt 1as 1trey 2-10fg 2-2ft,2014-10-29,"Hardaway Jr., Tim",Home
PG,"Lawson, Ty^",8.5,8100.0,den,v det,89-79,33,3pt 5as 2to 1-7fg 1-2ft,2014-10-29,Ty Lawson,Home
PG,"Telfair, Sebastian",8.2,3500.0,okc,@ por,89-106,15,4pt 1rb 2as 1-9fg 2-2ft,2014-10-29,Sebastian Telfair,Away
SG,"Stauskas, Nik",8,4500.0,sac,v gsw,77-95,26,9pt 1to 2trey 3-10fg 1-1ft,2014-10-29,Nik Stauskas,Home
PG,"Lin, Jeremy^",7.9,5500.0,lal,@ pho,99-119,21,6pt 2rb 1as 2to 2-5fg 2-2ft,2014-10-29,Jeremy Lin,Away
SG,"Barbosa, Leandro",7.7,3500.0,gsw,@ sac,95-77,14,4pt 1rb 1as 1bl 1to 2-4fg 0-0ft,2014-10-29,Leandro Barbosa,Away
PG,"Exum, Dante",7.5,3700.0,uta,v hou,93-104,10,5pt 1as 1st 1to 1trey 2-3fg 0-0ft,2014-10-29,Dante Exum,Home
SG,"Bazemore, Kent",7.2,4e3,atl,@ tor,102-109,11,2pt 1rb 1st 1bl 1-2fg 0-0ft,2014-10-29,Kent Bazemore,Away
SG,"Sefolosha, Thabo",6.4,3800.0,atl,@ tor,102-109,17,0pt 2rb 2as 1bl 1to 0-3fg 0-0ft,2014-10-29,Thabo Sefolosha,Away
PG,"Bayless, Jerryd",6,3700.0,mil,@ cha,106-108,14,4pt 2as 1to 2-3fg 0-0ft,2014-10-29,Jerryd Bayless,Away
SG,"Terry, Jason",6,3800.0,hou,@ uta,104-93,21,8pt 2to 2trey 3-5fg 0-0ft,2014-10-29,Jason Terry,Away
PG,"Ennis, Tyler",5.5,3500.0,pho,v lal,119-99,13,2pt 3as 1bl 3to 1-2fg 0-0ft,2014-10-29,Tyler Ennis,Home
SG,"Snell, Tony",5.2,3500.0,chi,@ nyk,104-80,17,3pt 1rb 1st 1to 1-4fg 1-1ft,2014-10-29,Tony Snell,Away
PG,"Robinson, Nate",4.5,4200.0,den,v det,89-79,6,3pt 1as 1-4fg 1-1ft,2014-10-29,Nate Robinson,Home
PG,"Canaan, Isaiah",4.2,3600.0,hou,@ uta,104-93,8,3pt 1rb 1trey 1-3fg 0-0ft,2014-10-29,Isaiah Canaan,Away
SG,"Crabbe, Allen",4.2,3500.0,por,v okc,106-89,2,3pt 1rb 1trey 1-1fg 0-0ft,2014-10-29,Allen Crabbe,Home
SG,"McLemore, Ben^",3.9,4600.0,sac,v gsw,77-95,26,0pt 2rb 1as 1st 2to 0-5fg 0-0ft,2014-10-29,Ben McLemore,Home
PG,"Udrih, Beno",3.7,3500.0,mem,v min,105-101,14,2pt 1rb 1as 1to 1-3fg 0-0ft,2014-10-29,Beno Udrih,Home
SG,"McCollum, C.J.",2.9,3900.0,por,v okc,106-89,16,2pt 2rb 1as 3to 1-4fg 0-0ft,2014-10-29,C McCollum.J.,Home
PG,"Goodwin, Archie",2.7,3500.0,pho,v lal,119-99,10,0pt 1rb 1as 0-2fg 0-0ft,2014-10-29,Archie Goodwin,Home
PG,"Miller, Andre",2.7,3900.0,was,@ mia,95-107,10,0pt 1rb 1as 0-1fg 0-0ft,2014-10-29,Andre Miller,Away
SG,"Karasev, Sergey",2.6,3500.0,bkn,@ bos,105-121,3,0pt 3rb 1to 0-0fg 0-0ft,2014-10-29,Sergey Karasev,Away
PG,"Schroder, Dennis",2.2,3500.0,atl,@ tor,102-109,4,1pt 1rb 0-0fg 1-2ft,2014-10-29,Dennis Schroder,Away
PG,"Sessions, Ramon",0.5,5e3,sac,v gsw,77-95,10,3pt 1as 4to 1-3fg 1-1ft,2014-10-29,Ramon Sessions,Home
PG,"Moore, E'Twaun",0,3900.0,chi,@ nyk,104-80,3,0pt 0-1fg 0-0ft,2014-10-29,E Moore'Twaun,Away
SG,"Barton, Will",0,3500.0,por,v okc,106-89,2,0pt 0-0fg 0-0ft,2014-10-29,Will Barton,Home
PG,"McCallum, Ray",0,3800.0,sac,v gsw,77-95,2,0pt 0-0fg 0-0ft,2014-10-29,Ray McCallum,Home
PG,"Livingston, Shaun",0,3900.0,gsw,@ sac,95-77,4,0pt 0-0fg 0-0ft,2014-10-29,Shaun Livingston,Away
PF,"Faried, Kenneth^",45.4,7300.0,den,v det,89-79,28,22pt 17rb 4as 3to 8-12fg 6-8ft,2014-10-29,Kenneth Faried,Home
PF,"Randolph, Zach^",41.1,7700.0,mem,v min,105-101,35,25pt 13rb 1as 1st 1bl 5to 12-16fg 1-1ft,2014-10-29,Zach Randolph,Home
PF,"Young, Thaddeus^",39.8,7500.0,min,@ mem,101-105,34,26pt 4rb 4as 2st 1to 2trey 10-18fg 4-4ft,2014-10-29,Thaddeus Young,Away
SF,"Smith, Josh^",39.5,7800.0,det,@ den,79-89,36,25pt 5rb 3as 1st 2bl 2to 9-22fg 7-11ft,2014-10-29,Josh Smith,Away
PF,"Johnson, Amir^",39,5300.0,tor,v atl,109-102,31,16pt 10rb 2as 4bl 7-15fg 2-2ft,2014-10-29,Amir Johnson,Home
PF,"Favors, Derrick^",38.4,6e3,uta,v hou,93-104,27,16pt 7rb 2as 3st 4bl 3to 7-10fg 2-3ft,2014-10-29,Derrick Favors,Home
PF,"Aldridge, LaMarcus^",37.6,9800.0,por,v okc,106-89,34,27pt 3rb 2as 1st 2bl 2to 1trey 10-19fg 6-8ft,2014-10-29,LaMarcus Aldridge,Home
PF,"Davis, Ed",37.3,3700.0,lal,@ pho,99-119,33,14pt 9rb 3as 2st 2bl 6-10fg 2-5ft,2014-10-29,Ed Davis,Away
