position,name,fdpts,salary,team,matchup,score,mins,line,date,cleanname,location
SG,"Harden, James^",44.2,9900.0,hou,@ lal,108-90,31,32pt 1rb 6as 1st 3trey 7-17fg 15-16ft,2014-10-28,James Harden,Away
SG,"Ellis, Monta^",38.8,8100.0,dal,@ sas,100-101,37,26pt 4rb 6as 1st 3to 1trey 11-21fg 3-4ft,2014-10-28,Monta Ellis,Away
SG,"Ginobili, Manu",32.4,5400.0,sas,v dal,101-100,28,20pt 2rb 6as 2st 3to 2trey 6-13fg 6-7ft,2014-10-28,Manu Ginobili,Home
SG,"Evans, Tyreke^",31.8,7400.0,nor,v orl,101-84,35,12pt 9rb 6as 5-15fg 2-5ft,2014-10-28,Tyreke Evans,Home
PG,"Parker, Tony^",30.1,7300.0,sas,v dal,101-100,35,23pt 3rb 3as 1to 4trey 9-15fg 1-2ft,2014-10-28,Tony Parker,Home
PG,"Harris, Devin",27.5,4300.0,dal,@ sas,100-101,29,17pt 5as 2st 1to 2trey 6-12fg 3-4ft,2014-10-28,Devin Harris,Away
SG,"Bryant, Kobe^",26.6,9e3,lal,v hou,90-108,29,19pt 3rb 2as 1st 1to 6-17fg 7-8ft,2014-10-28,Kobe Bryant,Home
PG,"Holiday, Jrue^",22.4,7400.0,nor,v orl,101-84,27,8pt 2rb 4as 3st 1bl 2to 4-11fg 0-0ft,2014-10-28,Jrue Holiday,Home
SG,"Belinelli, Marco^",21.9,4200.0,sas,v dal,101-100,31,15pt 2rb 3as 1st 2to 3trey 5-8fg 2-2ft,2014-10-28,Marco Belinelli,Home
PG,"Payton, Elfrid^",20.5,5600.0,orl,@ nor,84-101,31,4pt 5rb 7as 1st 2to 2-8fg 0-0ft,2014-10-28,Elfrid Payton,Away
PG,"Beverley, Patrick^",20.5,4900.0,hou,@ lal,108-90,31,9pt 5rb 5as 2to 2trey 2-6fg 3-6ft,2014-10-28,Patrick Beverley,Away
SG,"Green, Danny^",18.3,4400.0,sas,v dal,101-100,34,13pt 4rb 1as 1st 3to 3trey 5-9fg 0-0ft,2014-10-28,Danny Green,Home
SG,"Gordon, Eric^",17.8,5900.0,nor,v orl,101-84,32,8pt 4rb 2st 2bl 3to 1trey 3-8fg 1-3ft,2014-10-28,Eric Gordon,Home
PG,"Nelson, Jameer^",17.5,6e3,dal,@ sas,100-101,30,9pt 3as 1st 1bl 3trey 3-7fg 0-0ft,2014-10-28,Jameer Nelson,Away
SG,"Clarkson, Jordan",14.8,3500.0,lal,v hou,90-108,20,8pt 4rb 2as 1to 1trey 1-4fg 5-6ft,2014-10-28,Jordan Clarkson,Home
PG,"Price, Ronnie",14.7,3500.0,lal,v hou,90-108,27,7pt 1rb 3as 2st 2to 1trey 1-7fg 4-4ft,2014-10-28,Ronnie Price,Home
SG,"Rivers, Austin",14.7,3900.0,nor,v orl,101-84,20,7pt 1rb 3as 1st 2-5fg 3-6ft,2014-10-28,Austin Rivers,Home
PG,"Lin, Jeremy^",14.4,5500.0,lal,v hou,90-108,29,7pt 2rb 6as 4to 1-5fg 5-6ft,2014-10-28,Jeremy Lin,Home
SG,"Fournier, Evan^",13.6,4500.0,orl,@ nor,84-101,32,11pt 3rb 2as 4to 2trey 3-11fg 3-3ft,2014-10-28,Evan Fournier,Away
SG,"Gordon, Ben",11.3,3500.0,orl,@ nor,84-101,23,5pt 4rb 1as 1-8fg 3-4ft,2014-10-28,Ben Gordon,Away
PG,"Joseph, Cory",11.2,3500.0,sas,v dal,101-100,17,7pt 1rb 2as 1trey 3-4fg 0-0ft,2014-10-28,Cory Joseph,Home
SG,"Terry, Jason",8.5,3800.0,hou,@ lal,108-90,21,8pt 1as 1to 2trey 3-5fg 0-0ft,2014-10-28,Jason Terry,Away
PG,"Fredette, Jimmer",7,3500.0,nor,v orl,101-84,18,2pt 2as 1st 0-6fg 2-2ft,2014-10-28,Jimmer Fredette,Home
SG,"Henry, Xavier",6.2,3500.0,lal,v hou,90-108,18,3pt 1rb 1st 0-4fg 3-4ft,2014-10-28,Xavier Henry,Home
PG,"Ridnour, Luke",3.9,4700.0,orl,@ nor,84-101,17,2pt 2rb 1as 2to 0-3fg 2-2ft,2014-10-28,Luke Ridnour,Away
SG,"Green, Willie",2.4,3500.0,orl,@ nor,84-101,4,0pt 2rb 0-1fg 0-0ft,2014-10-28,Willie Green,Away
PG,"Canaan, Isaiah",2.2,3600.0,hou,@ lal,108-90,7,2pt 1rb 1to 0-1fg 2-2ft,2014-10-28,Isaiah Canaan,Away
