teams,opp,date,opener.odds,opener.juice,pinn.odds,pinn.juice,opener,totals,totalsjuice
Dallas,San Antonio,2014-10-28,7.5,-110.0,3.5,-102.0,202.0,203.0,-106.0
San Antonio,Dallas,2014-10-28,-7.5,-110.0,-3.5,-108.0,202.0,203.0,-104.0
Orlando,New Orleans,2014-10-28,9.5,-110.0,9.0,-105.0,197.0,191.0,-110.0
New Orleans,Orlando,2014-10-28,-9.5,-110.0,-9.0,-105.0,197.0,191.0,100.0
Houston,L.A. Lakers,2014-10-28,-6.0,-110.0,-7.0,-101.0,214.0,207.0,-102.0
L.A. Lakers,Houston,2014-10-28,6.0,-110.0,7.0,-109.0,214.0,207.0,-108.0
Philadelphia,Indiana,2014-10-29,12.5,-110.0,7.5,-107.0,200.0,189.5,-101.0
Indiana,Philadelphia,2014-10-29,-12.5,-110.0,-7.5,-103.0,200.0,189.5,-109.0
Milwaukee,Charlotte,2014-10-29,9.0,-110.0,8.0,-105.0,192.0,193.5,100.0
Charlotte,Milwaukee,2014-10-29,-9.0,-110.0,-8.0,-105.0,192.0,193.5,-110.0
Washington,Miami,2014-10-29,5.0,-110.0,5.0,-103.0,188.5,188.0,-105.0
Miami,Washington,2014-10-29,-5.0,-110.0,-5.0,-107.0,188.5,188.0,-105.0
Brooklyn,Boston,2014-10-29,-3.5,-110.0,1.0,-110.0,191.0,193.5,-107.0
Boston,Brooklyn,2014-10-29,3.5,-110.0,-1.0,100.0,191.0,193.5,-103.0
Atlanta,Toronto,2014-10-29,5.5,-110.0,4.5,-106.0,200.0,199.0,-105.0
Toronto,Atlanta,2014-10-29,-5.5,-110.0,-4.5,-104.0,200.0,199.0,-105.0
Chicago,New York,2014-10-29,-2.5,-110.0,-4.5,-105.0,188.5,184.0,-105.0
New York,Chicago,2014-10-29,2.5,-110.0,4.5,-105.0,188.5,184.0,-105.0
Minnesota,Memphis,2014-10-29,8.0,-110.0,7.5,-109.0,193.0,197.0,-105.0
Memphis,Minnesota,2014-10-29,-8.0,-110.0,-7.5,-101.0,193.0,197.0,-105.0
Detroit,Denver,2014-10-29,7.0,-110.0,6.5,-108.0,215.0,205.5,-107.0
Denver,Detroit,2014-10-29,-7.0,-110.0,-6.5,-102.0,215.0,205.5,-103.0
Houston,Utah,2014-10-29,-5.5,-110.0,-3.0,-110.0,204.0,201.5,-104.0
Utah,Houston,2014-10-29,5.5,-110.0,3.0,100.0,204.0,201.5,-106.0
L.A. Lakers,Phoenix,2014-10-29,7.5,-110.0,12.0,-105.0,210.5,208.0,-104.0
Phoenix,L.A. Lakers,2014-10-29,-7.5,-110.0,-12.0,-105.0,210.5,208.0,-106.0
Golden State,Sacramento,2014-10-29,-4.5,-110.0,-4.5,-105.0,205.0,206.0,-106.0
Sacramento,Golden State,2014-10-29,4.5,-110.0,4.5,-105.0,205.0,206.0,-104.0
Oklahoma City,Portland,2014-10-29,6.5,-110.0,9.5,-105.0,203.5,198.0,-105.0
Portland,Oklahoma City,2014-10-29,-6.5,-110.0,-9.5,-105.0,203.5,198.0,-105.0
