teams,opp,date,opener.odds,opener.juice,pinn.odds,pinn.juice,opener,totals,totalsjuice
Washington,Orlando,2014-10-30,-1.0,-110.0,-4.5,-104.0,191.5,188.0,-107.0
Orlando,Washington,2014-10-30,1.0,-110.0,4.5,-106.0,191.5,188.0,-103.0
New York,Cleveland,2014-10-30,12.0,-110.0,13.0,-105.0,199.5,203.5,100.0
Cleveland,New York,2014-10-30,-12.0,-110.0,-13.0,-105.0,199.5,203.5,-110.0
Detroit,Minnesota,2014-10-30,1.5,-110.0,5.5,-105.0,204.5,204.5,-106.0
Minnesota,Detroit,2014-10-30,-1.5,-110.0,-5.5,-105.0,204.5,204.5,-104.0
Utah,Dallas,2014-10-30,10.5,-110.0,10.5,-103.0,192.5,203.0,-103.0
Dallas,Utah,2014-10-30,-10.5,-110.0,-10.5,-107.0,192.5,203.0,-107.0
Oklahoma City,L.A. Clippers,2014-10-30,10.5,-110.0,12.5,102.0,204.5,205.5,-102.0
L.A. Clippers,Oklahoma City,2014-10-30,-10.5,-110.0,-12.5,-113.0,204.5,205.5,-108.0
Memphis,Indiana,2014-10-31,-5.5,-110.0,-6.5,-103.0,186.0,185.5,-103.0
Indiana,Memphis,2014-10-31,5.5,-110.0,6.5,-107.0,186.0,185.5,-107.0
Cleveland,Chicago,2014-10-31,2.5,-110.0,4.0,-103.0,193.5,193.5,-105.0
Chicago,Cleveland,2014-10-31,-2.5,-110.0,-4.0,-107.0,193.5,193.5,-105.0
Philadelphia,Milwaukee,2014-10-31,8.0,-110.0,8.5,-109.0,200.0,204.0,100.0
Milwaukee,Philadelphia,2014-10-31,-8.0,-110.0,-8.5,-101.0,200.0,204.0,-110.0
Portland,Sacramento,2014-10-31,-5.5,-110.0,-4.5,-102.0,201.0,198.5,-108.0
Sacramento,Portland,2014-10-31,5.5,-110.0,4.5,-108.0,201.0,198.5,-102.0
San Antonio,Phoenix,2014-10-31,-2.0,-110.0,-1.0,-103.0,206.0,208.0,-110.0
Phoenix,San Antonio,2014-10-31,2.0,-110.0,1.0,-107.0,206.0,208.0,100.0
L.A. Clippers,L.A. Lakers,2014-10-31,-11.5,-110.0,-11.5,-105.0,210.0,210.0,102.0
L.A. Lakers,L.A. Clippers,2014-10-31,11.5,-110.0,11.5,-105.0,210.0,210.0,-112.0
Miami,Philadelphia,2014-11-01,-9.0,-110.0,-9.0,102.0,196.0,195.5,-113.0
Philadelphia,Miami,2014-11-01,9.0,-110.0,9.0,-113.0,196.0,195.5,102.0
Toronto,Orlando,2014-11-01,-5.5,-110.0,-5.5,-103.0,194.5,196.0,-110.0
Orlando,Toronto,2014-11-01,5.5,-110.0,5.5,-107.0,194.5,196.0,100.0
Memphis,Charlotte,2014-11-01,3.5,-110.0,3.0,-108.0,186.0,186.0,-107.0
Charlotte,Memphis,2014-11-01,-3.5,-110.0,-3.0,-102.0,186.0,186.0,-103.0
Dallas,New Orleans,2014-11-01,NA,-110.0,NA,-110.0,NA,NA,-110.0
New Orleans,Dallas,2014-11-01,NA,-110.0,NA,-110.0,NA,NA,-110.0
Milwaukee,Washington,2014-11-01,9.0,-110.0,9.0,-110.0,197.0,197.0,-102.0
Washington,Milwaukee,2014-11-01,-9.0,-110.0,-9.0,100.0,197.0,197.0,-108.0
Brooklyn,Detroit,2014-11-01,3.0,-115.0,2.5,-105.0,196.0,196.0,-105.0
Detroit,Brooklyn,2014-11-01,-3.0,-105.0,-2.5,-105.0,196.0,196.0,-105.0
Indiana,Atlanta,2014-11-01,10.5,-110.0,10.5,-104.0,194.0,193.0,-105.0
Atlanta,Indiana,2014-11-01,-10.5,-110.0,-10.5,-106.0,194.0,193.0,-105.0
Chicago,Minnesota,2014-11-01,-4.5,-110.0,-2.0,-102.0,189.5,190.5,-107.0
Minnesota,Chicago,2014-11-01,4.5,-110.0,2.0,-108.0,189.5,190.5,-103.0
Boston,Houston,2014-11-01,11.5,-110.0,7.0,100.0,204.5,208.5,-105.0
Houston,Boston,2014-11-01,-11.5,-110.0,-7.0,-110.0,204.5,208.5,-105.0
Denver,Oklahoma City,2014-11-01,-3.0,-110.0,-4.5,-107.0,198.5,193.0,102.0
Oklahoma City,Denver,2014-11-01,3.0,-110.0,4.5,-103.0,198.5,193.0,-113.0
Phoenix,Utah,2014-11-01,-2.5,-110.0,-2.0,-103.0,202.5,203.5,-105.0
Utah,Phoenix,2014-11-01,2.5,-110.0,2.0,-107.0,202.5,203.5,-105.0
L.A. Lakers,Golden State,2014-11-01,13.5,-110.0,14.0,-105.0,202.5,210.5,-116.0
Golden State,L.A. Lakers,2014-11-01,-13.5,-110.0,-14.0,-105.0,202.5,210.5,105.0
Sacramento,L.A. Clippers,2014-11-02,11.5,-110.0,9.5,-110.0,206.5,205.0,102.0
L.A. Clippers,Sacramento,2014-11-02,-11.5,-110.0,-9.5,100.0,206.5,205.0,-113.0
Toronto,Miami,2014-11-02,5.5,-110.0,2.0,-107.0,196.0,197.5,-110.0
Miami,Toronto,2014-11-02,-5.5,-110.0,-2.0,-103.0,196.0,197.5,100.0
Charlotte,New York,2014-11-02,4.0,-110.0,3.5,-105.0,188.0,185.5,100.0
New York,Charlotte,2014-11-02,-4.0,-110.0,-3.5,-105.0,188.0,185.5,-110.0
Golden State,Portland,2014-11-02,3.5,-110.0,3.5,-109.0,207.0,208.5,100.0
Portland,Golden State,2014-11-02,-3.5,-110.0,-3.5,-101.0,207.0,208.5,-110.0
Houston,Philadelphia,2014-11-03,-9.5,-110.0,-11.5,-101.0,205.0,200.0,-113.0
Philadelphia,Houston,2014-11-03,9.5,-110.0,11.5,-109.0,205.0,200.0,102.0
Oklahoma City,Brooklyn,2014-11-03,7.0,-115.0,6.5,-105.0,193.0,192.5,-107.0
Brooklyn,Oklahoma City,2014-11-03,-7.0,-105.0,-6.5,-105.0,193.0,192.5,-103.0
New Orleans,Memphis,2014-11-03,5.0,-110.0,4.0,-108.0,193.0,187.5,100.0
Memphis,New Orleans,2014-11-03,-5.0,-110.0,-4.0,-102.0,193.0,187.5,-110.0
Boston,Dallas,2014-11-03,9.5,-110.0,9.5,-109.0,208.5,208.5,-107.0
Dallas,Boston,2014-11-03,-9.5,-110.0,-9.5,-101.0,208.5,208.5,-103.0
Sacramento,Denver,2014-11-03,9.0,-110.0,6.5,102.0,203.5,202.0,-105.0
Denver,Sacramento,2014-11-03,-9.0,-110.0,-6.5,-113.0,203.5,202.0,-105.0
Utah,L.A. Clippers,2014-11-03,9.5,-110.0,9.5,101.0,204.5,204.0,102.0
L.A. Clippers,Utah,2014-11-03,-9.5,-110.0,-9.5,-111.0,204.5,204.0,-113.0
Milwaukee,Indiana,2014-11-04,3.0,-110.0,4.0,-110.0,189.5,191.5,-105.0
Indiana,Milwaukee,2014-11-04,-3.0,-110.0,-4.0,100.0,189.5,191.5,-105.0
Houston,Miami,2014-11-04,1.5,-110.0,2.5,-107.0,203.0,204.5,-103.0
Miami,Houston,2014-11-04,-1.5,-110.0,-2.5,-103.0,203.0,204.5,-107.0
Washington,New York,2014-11-04,1.5,-110.0,-1.5,-105.0,194.5,191.0,100.0
New York,Washington,2014-11-04,-1.5,-110.0,1.5,-105.0,194.5,191.0,-110.0
Oklahoma City,Toronto,2014-11-04,11.5,-110.0,11.5,-110.0,191.5,192.5,-105.0
Toronto,Oklahoma City,2014-11-04,-11.5,-110.0,-11.5,100.0,191.5,192.5,-105.0
Charlotte,New Orleans,2014-11-04,3.0,-110.0,4.0,-105.0,189.5,190.0,-105.0
New Orleans,Charlotte,2014-11-04,-3.0,-110.0,-4.0,-105.0,189.5,190.0,-105.0
Orlando,Chicago,2014-11-04,12.5,-110.0,10.0,102.0,188.0,189.0,-102.0
Chicago,Orlando,2014-11-04,-12.5,-110.0,-10.0,-113.0,188.0,189.0,-108.0
Cleveland,Portland,2014-11-04,-2.0,-110.0,-2.5,-106.0,202.5,207.5,-108.0
Portland,Cleveland,2014-11-04,2.0,-110.0,2.5,-104.0,202.5,207.5,-102.0
Phoenix,L.A. Lakers,2014-11-04,-7.0,-110.0,-6.0,-107.0,214.5,212.5,-110.0
L.A. Lakers,Phoenix,2014-11-04,7.0,-110.0,6.0,-103.0,214.5,212.5,100.0
Orlando,Philadelphia,2014-11-05,3.0,-110.0,-2.5,-105.0,196.0,196.5,-105.0
Philadelphia,Orlando,2014-11-05,-3.0,-110.0,2.5,-105.0,196.0,196.5,-105.0
Miami,Charlotte,2014-11-05,2.5,-110.0,1.0,102.0,192.0,190.0,-105.0
Charlotte,Miami,2014-11-05,-2.5,-110.0,-1.0,-113.0,192.0,190.0,-105.0
New York,Detroit,2014-11-05,1.5,-110.0,4.0,-106.0,193.0,186.0,-110.0
Detroit,New York,2014-11-05,-1.5,-110.0,-4.0,-104.0,193.0,186.0,100.0
Toronto,Boston,2014-11-05,-1.0,-110.0,2.0,-102.0,202.0,203.5,-102.0
Boston,Toronto,2014-11-05,1.0,-110.0,-2.0,-108.0,202.0,203.5,-108.0
Minnesota,Brooklyn,2014-11-05,6.0,-110.0,5.0,102.0,201.0,208.0,-113.0
Brooklyn,Minnesota,2014-11-05,-6.0,-110.0,-5.0,-113.0,201.0,208.0,102.0
Chicago,Milwaukee,2014-11-05,-7.0,-110.0,-5.0,-102.0,191.5,191.0,-109.0
Milwaukee,Chicago,2014-11-05,7.0,-110.0,5.0,-108.0,191.5,191.0,-101.0
Indiana,Washington,2014-11-05,11.0,-110.0,9.5,-107.0,189.5,187.5,-110.0
Washington,Indiana,2014-11-05,-11.0,-110.0,-9.5,-103.0,189.5,187.5,100.0
Atlanta,San Antonio,2014-11-05,9.5,-110.0,8.0,-103.0,202.5,201.5,-104.0
San Antonio,Atlanta,2014-11-05,-9.5,-110.0,-8.0,-107.0,202.5,201.5,-106.0
Memphis,Phoenix,2014-11-05,3.0,-110.0,1.5,-102.0,193.5,192.5,-113.0
Phoenix,Memphis,2014-11-05,-3.0,-110.0,-1.5,-108.0,193.5,192.5,102.0
Cleveland,Utah,2014-11-05,-7.5,-110.0,-5.5,-103.0,202.0,207.0,102.0
Utah,Cleveland,2014-11-05,7.5,-110.0,5.5,-107.0,202.0,207.0,-113.0
Denver,Sacramento,2014-11-05,0.0,-110.0,3.5,-102.0,205.5,206.0,-103.0
Sacramento,Denver,2014-11-05,0.0,-110.0,-3.5,-108.0,205.5,206.0,-107.0
L.A. Clippers,Golden State,2014-11-05,2.5,-110.0,5.0,-110.0,210.5,211.0,-105.0
Golden State,L.A. Clippers,2014-11-05,-2.5,-110.0,-5.0,100.0,210.5,211.0,-105.0
San Antonio,Houston,2014-11-06,4.0,-110.0,6.5,-107.0,202.5,196.5,-105.0
Houston,San Antonio,2014-11-06,-4.0,-110.0,-6.5,-103.0,202.5,196.5,-105.0
Dallas,Portland,2014-11-06,3.0,-110.0,2.0,-110.0,204.5,209.5,-105.0
Portland,Dallas,2014-11-06,-3.0,-110.0,-2.0,100.0,204.5,209.5,-105.0
Minnesota,Orlando,2014-11-07,-3.5,-110.0,-4.0,-105.0,197.0,203.5,-104.0
Orlando,Minnesota,2014-11-07,3.5,-110.0,4.0,-105.0,197.0,203.5,-106.0
Chicago,Philadelphia,2014-11-07,-11.0,-110.0,-10.0,-107.0,188.5,189.0,100.0
Philadelphia,Chicago,2014-11-07,11.0,-110.0,10.0,-103.0,188.5,189.0,-110.0
Atlanta,Charlotte,2014-11-07,3.5,-110.0,1.5,-101.0,194.0,194.0,-110.0
Charlotte,Atlanta,2014-11-07,-3.5,-110.0,-1.5,-109.0,194.0,194.0,100.0
Washington,Toronto,2014-11-07,4.5,-110.0,4.0,-103.0,197.0,195.0,-104.0
Toronto,Washington,2014-11-07,-4.5,-110.0,-4.0,-107.0,197.0,195.0,-106.0
Indiana,Boston,2014-11-07,6.5,-110.0,5.5,-105.0,191.0,191.0,-109.0
Boston,Indiana,2014-11-07,-6.5,-110.0,-5.5,-105.0,191.0,191.0,-101.0
New York,Brooklyn,2014-11-07,5.0,-110.0,6.0,-104.0,193.0,193.0,-102.0
Brooklyn,New York,2014-11-07,-5.0,-110.0,-6.0,-106.0,193.0,193.0,-108.0
Milwaukee,Detroit,2014-11-07,6.0,-110.0,5.0,-108.0,195.0,195.0,-101.0
Detroit,Milwaukee,2014-11-07,-6.0,-110.0,-5.0,-102.0,195.0,195.0,-109.0
Memphis,Oklahoma City,2014-11-07,-8.0,-110.0,-7.5,-104.0,185.0,182.5,-103.0
Oklahoma City,Memphis,2014-11-07,8.0,-110.0,7.5,-106.0,185.0,182.5,-107.0
Dallas,Utah,2014-11-07,-3.5,-110.0,-3.0,-101.0,204.0,205.0,-105.0
Utah,Dallas,2014-11-07,3.5,-110.0,3.0,-109.0,204.0,205.0,-105.0
Sacramento,Phoenix,2014-11-07,4.5,-110.0,5.0,-107.0,209.5,208.5,-108.0
Phoenix,Sacramento,2014-11-07,-4.5,-110.0,-5.0,-103.0,209.5,208.5,-102.0
Cleveland,Denver,2014-11-07,-3.0,-110.0,-6.5,-103.0,207.5,211.0,100.0
Denver,Cleveland,2014-11-07,3.0,-110.0,6.5,-107.0,207.5,211.0,-110.0
Portland,L.A. Clippers,2014-11-08,4.5,-110.0,4.5,-103.0,207.0,204.5,-108.0
L.A. Clippers,Portland,2014-11-08,-4.5,-110.0,-4.5,-107.0,207.0,204.5,-102.0
Washington,Indiana,2014-11-08,-4.0,-110.0,-3.5,-103.0,186.0,183.5,103.0
Indiana,Washington,2014-11-08,4.0,-110.0,3.5,-107.0,186.0,183.5,-114.0
Minnesota,Miami,2014-11-08,7.5,-110.0,8.0,-109.0,202.5,205.0,-104.0
Miami,Minnesota,2014-11-08,-7.5,-110.0,-8.0,-101.0,202.5,205.0,-106.0
New York,Atlanta,2014-11-08,5.0,-110.0,6.5,-102.0,194.5,194.5,-113.0
Atlanta,New York,2014-11-08,-5.0,-110.0,-6.5,-108.0,194.5,194.5,102.0
Boston,Chicago,2014-11-08,10.0,-110.0,9.5,-103.0,193.0,194.0,-113.0
Chicago,Boston,2014-11-08,-10.0,-110.0,-9.5,-107.0,193.0,194.0,102.0
Golden State,Houston,2014-11-08,4.5,-110.0,-3.5,-103.0,205.5,209.0,100.0
Houston,Golden State,2014-11-08,-4.5,-110.0,3.5,-107.0,205.5,209.0,-110.0
Memphis,Milwaukee,2014-11-08,-5.5,-110.0,-5.0,100.0,186.0,187.0,-105.0
Milwaukee,Memphis,2014-11-08,5.5,-110.0,5.0,-110.0,186.0,187.0,-105.0
New Orleans,San Antonio,2014-11-08,7.0,-110.0,7.5,-112.0,197.0,195.5,-105.0
San Antonio,New Orleans,2014-11-08,-7.0,-110.0,-7.5,102.0,197.0,195.5,-105.0
Orlando,Brooklyn,2014-11-09,9.5,-110.0,9.0,-105.0,198.5,198.5,-102.0
Brooklyn,Orlando,2014-11-09,-9.5,-110.0,-9.0,-105.0,198.5,198.5,-108.0
Utah,Detroit,2014-11-09,4.5,-110.0,3.5,-102.0,195.0,192.5,-105.0
Detroit,Utah,2014-11-09,-4.5,-110.0,-3.5,-108.0,195.0,192.5,-105.0
Philadelphia,Toronto,2014-11-09,14.5,-110.0,13.5,-109.0,201.5,205.0,-108.0
Toronto,Philadelphia,2014-11-09,-14.5,-110.0,-13.5,-101.0,201.5,205.0,-102.0
Sacramento,Oklahoma City,2014-11-09,-4.5,-110.0,-2.0,-104.0,195.0,190.0,-105.0
Oklahoma City,Sacramento,2014-11-09,4.5,-110.0,2.0,-106.0,195.0,190.0,-105.0
Miami,Dallas,2014-11-09,6.0,-110.0,8.0,-104.0,205.0,205.0,-106.0
Dallas,Miami,2014-11-09,-6.0,-110.0,-8.0,-106.0,205.0,205.0,-104.0
Golden State,Phoenix,2014-11-09,1.0,-110.0,2.5,-101.0,208.0,209.0,-105.0
Phoenix,Golden State,2014-11-09,-1.0,-110.0,-2.5,-109.0,208.0,209.0,-105.0
Denver,Portland,2014-11-09,9.0,-110.0,9.0,-105.0,208.0,207.5,-105.0
Portland,Denver,2014-11-09,-9.0,-110.0,-9.0,-105.0,208.0,207.5,-105.0
Charlotte,L.A. Lakers,2014-11-09,-4.0,-110.0,-2.5,-104.0,204.5,202.0,-105.0
L.A. Lakers,Charlotte,2014-11-09,4.0,-110.0,2.5,-106.0,204.5,202.0,-105.0
Utah,Indiana,2014-11-10,2.0,-110.0,3.0,-105.0,189.5,187.0,-110.0
Indiana,Utah,2014-11-10,-2.0,-110.0,-3.0,-105.0,189.5,187.0,100.0
New Orleans,Cleveland,2014-11-10,10.0,-110.0,5.5,-104.0,194.5,202.0,100.0
Cleveland,New Orleans,2014-11-10,-10.0,-110.0,-5.5,-106.0,194.5,202.0,-110.0
Atlanta,New York,2014-11-10,0.0,-110.0,-2.0,-107.0,197.5,197.5,-109.0
New York,Atlanta,2014-11-10,0.0,-110.0,2.0,-103.0,197.5,197.5,-101.0
Detroit,Chicago,2014-11-10,9.0,-110.0,9.5,-105.0,191.5,191.0,-105.0
Chicago,Detroit,2014-11-10,-9.0,-110.0,-9.5,-105.0,191.5,191.0,-105.0
San Antonio,L.A. Clippers,2014-11-10,2.5,-110.0,1.5,104.0,203.5,202.5,-105.0
L.A. Clippers,San Antonio,2014-11-10,-2.5,-110.0,-1.5,-115.0,203.5,202.5,-105.0
Orlando,Toronto,2014-11-11,11.0,-110.0,10.5,-102.0,197.5,198.0,-105.0
Toronto,Orlando,2014-11-11,-11.0,-110.0,-10.5,-108.0,197.5,198.0,-105.0
Oklahoma City,Milwaukee,2014-11-11,6.0,-110.0,2.0,-104.0,190.5,191.0,-108.0
Milwaukee,Oklahoma City,2014-11-11,-6.0,-110.0,-2.0,-106.0,190.5,191.0,-102.0
L.A. Lakers,Memphis,2014-11-11,11.5,-110.0,10.0,-102.0,196.5,196.5,-105.0
Memphis,L.A. Lakers,2014-11-11,-11.5,-110.0,-10.0,-108.0,196.5,196.5,-105.0
Sacramento,Dallas,2014-11-11,7.5,-110.0,7.5,100.0,203.5,205.5,-103.0
Dallas,Sacramento,2014-11-11,-7.5,-110.0,-7.5,-110.0,203.5,205.5,-107.0
Charlotte,Portland,2014-11-11,8.0,-110.0,6.5,-108.0,202.5,192.5,102.0
Portland,Charlotte,2014-11-11,-8.0,-110.0,-6.5,-102.0,202.5,192.5,-113.0
San Antonio,Golden State,2014-11-11,5.0,-110.0,7.0,100.0,201.0,200.5,-105.0
Golden State,San Antonio,2014-11-11,-5.0,-110.0,-7.0,-110.0,201.0,200.5,-105.0
Detroit,Washington,2014-11-12,7.5,-110.0,6.0,-102.0,194.5,191.0,-105.0
Washington,Detroit,2014-11-12,-7.5,-110.0,-6.0,-108.0,194.5,191.0,-105.0
Indiana,Miami,2014-11-12,10.0,-110.0,8.5,-109.0,183.5,187.5,-105.0
Miami,Indiana,2014-11-12,-10.0,-110.0,-8.5,-101.0,183.5,187.5,-105.0
Utah,Atlanta,2014-11-12,6.0,-110.0,7.0,-104.0,201.5,197.5,-105.0
Atlanta,Utah,2014-11-12,-6.0,-110.0,-7.0,-106.0,201.5,197.5,-105.0
Orlando,New York,2014-11-12,6.5,-110.0,6.5,-104.0,191.5,191.0,-110.0
New York,Orlando,2014-11-12,-6.5,-110.0,-6.5,-106.0,191.5,191.0,100.0
Oklahoma City,Boston,2014-11-12,6.0,-110.0,7.5,-107.0,198.0,197.0,-105.0
Boston,Oklahoma City,2014-11-12,-6.0,-110.0,-7.5,-103.0,198.0,197.0,-105.0
L.A. Lakers,New Orleans,2014-11-12,10.5,-110.0,10.5,-103.0,207.5,210.0,-103.0
New Orleans,L.A. Lakers,2014-11-12,-10.5,-110.0,-10.5,-107.0,207.5,210.0,-107.0
Portland,Denver,2014-11-12,-2.0,-110.0,2.5,-101.0,209.5,208.5,-106.0
Denver,Portland,2014-11-12,2.0,-110.0,-2.5,-109.0,209.5,208.5,-104.0
Brooklyn,Phoenix,2014-11-12,4.5,-110.0,4.5,-105.0,203.5,207.0,-103.0
Phoenix,Brooklyn,2014-11-12,-4.5,-110.0,-4.5,-105.0,203.5,207.0,-107.0
Houston,Minnesota,2014-11-12,-6.0,-110.0,-6.5,-105.0,201.5,201.0,-109.0
Minnesota,Houston,2014-11-12,6.0,-110.0,6.5,-105.0,201.5,201.0,-101.0
Sacramento,Memphis,2014-11-13,7.0,-110.0,5.5,-107.0,193.5,188.5,-107.0
Memphis,Sacramento,2014-11-13,-7.0,-110.0,-5.5,-103.0,193.5,188.5,-103.0
Chicago,Toronto,2014-11-13,3.0,-110.0,2.5,-105.0,190.5,196.5,-102.0
Toronto,Chicago,2014-11-13,-3.0,-110.0,-2.5,-105.0,190.5,196.5,-108.0
Philadelphia,Dallas,2014-11-13,15.0,-110.0,13.5,-106.0,208.5,211.0,-107.0
Dallas,Philadelphia,2014-11-13,-15.0,-110.0,-13.5,-104.0,208.5,211.0,-103.0
Brooklyn,Golden State,2014-11-13,10.0,-110.0,10.5,-105.0,206.5,211.5,-110.0
Golden State,Brooklyn,2014-11-13,-10.0,-110.0,-10.5,-105.0,206.5,211.5,100.0
Denver,Indiana,2014-11-14,2.0,-110.0,2.5,-105.0,197.5,201.0,-110.0
Indiana,Denver,2014-11-14,-2.0,-110.0,-2.5,-105.0,197.5,201.0,100.0
Milwaukee,Orlando,2014-11-14,3.0,-110.0,2.5,-103.0,192.0,194.0,-105.0
Orlando,Milwaukee,2014-11-14,-3.0,-110.0,-2.5,-107.0,192.0,194.0,-105.0
Utah,New York,2014-11-14,3.0,-110.0,3.5,-102.0,193.5,191.0,-105.0
New York,Utah,2014-11-14,-3.0,-110.0,-3.5,-108.0,193.5,191.0,-105.0
Cleveland,Boston,2014-11-14,-6.0,-110.0,-6.0,-102.0,211.5,208.5,-104.0
Boston,Cleveland,2014-11-14,6.0,-110.0,6.0,-108.0,211.5,208.5,-106.0
Miami,Atlanta,2014-11-14,2.5,-110.0,5.0,-108.0,195.0,193.0,-113.0
Atlanta,Miami,2014-11-14,-2.5,-110.0,-5.0,-102.0,195.0,193.0,102.0
Detroit,Oklahoma City,2014-11-14,1.5,-110.0,3.0,-110.0,189.0,189.0,-105.0
Oklahoma City,Detroit,2014-11-14,-1.5,-110.0,-3.0,100.0,189.0,189.0,-105.0
Minnesota,New Orleans,2014-11-14,8.5,-110.0,8.0,102.0,204.5,205.5,-108.0
New Orleans,Minnesota,2014-11-14,-8.5,-110.0,-8.0,-113.0,204.5,205.5,-102.0
Philadelphia,Houston,2014-11-14,15.0,-110.0,16.5,-105.0,211.0,205.0,-105.0
Houston,Philadelphia,2014-11-14,-15.0,-110.0,-16.5,-105.0,211.0,205.0,-105.0
Charlotte,Phoenix,2014-11-14,6.0,-110.0,6.5,-105.0,203.5,200.0,-113.0
Phoenix,Charlotte,2014-11-14,-6.0,-110.0,-6.5,-105.0,203.5,200.0,102.0
San Antonio,L.A. Lakers,2014-11-14,-9.0,-110.0,-8.0,-105.0,210.0,204.5,-105.0
L.A. Lakers,San Antonio,2014-11-14,9.0,-110.0,8.0,-105.0,210.0,204.5,-105.0
Orlando,Washington,2014-11-15,10.0,-110.0,9.0,-107.0,191.5,194.5,-109.0
Washington,Orlando,2014-11-15,-10.0,-110.0,-9.0,-103.0,191.5,194.5,-101.0
Utah,Toronto,2014-11-15,9.0,-110.0,11.5,-107.0,197.5,201.5,-107.0
Toronto,Utah,2014-11-15,-9.0,-110.0,-11.5,-103.0,197.5,201.5,-103.0
Atlanta,Cleveland,2014-11-15,10.0,-110.0,7.0,-108.0,205.5,209.0,-107.0
Cleveland,Atlanta,2014-11-15,-10.0,-110.0,-7.0,-102.0,205.5,209.0,-103.0
Detroit,Memphis,2014-11-15,11.0,-110.0,9.5,-110.0,187.5,186.0,-105.0
Memphis,Detroit,2014-11-15,-11.0,-110.0,-9.5,100.0,187.5,186.0,-105.0
Indiana,Chicago,2014-11-15,9.0,-110.0,9.0,-103.0,185.5,180.5,-104.0
Chicago,Indiana,2014-11-15,-9.0,-110.0,-9.0,-107.0,185.5,180.5,-106.0
Minnesota,Dallas,2014-11-15,10.0,-110.0,11.5,-107.0,210.5,210.5,-107.0
Dallas,Minnesota,2014-11-15,-10.0,-110.0,-11.5,-103.0,210.5,210.5,-103.0
Brooklyn,Portland,2014-11-15,8.0,-110.0,2.5,-103.0,208.0,204.5,-102.0
Portland,Brooklyn,2014-11-15,-8.0,-110.0,-2.5,-107.0,208.0,204.5,-108.0
San Antonio,Sacramento,2014-11-15,-2.0,-110.0,-1.5,-106.0,197.5,196.0,100.0
Sacramento,San Antonio,2014-11-15,2.0,-110.0,1.5,-104.0,197.5,196.0,-110.0
Phoenix,L.A. Clippers,2014-11-15,7.5,-110.0,7.0,102.0,210.0,210.5,-113.0
