Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
29773-84690,PG,Jalen,Jalen Brunson,Brunson,8.711111281,9,3500,WAS@DAL,DAL,WAS,,,
29773-84695,SG,Gary,Gary Trent Jr.,Trent Jr.,3.400000095,1,3500,MIL@POR,POR,MIL,,,
29773-85463,PG,Joe,Joe Chealey,Chealey,0,0,3500,ATL@CHA,CHA,ATL,,,
29773-42202,PF,Christian,Christian Wood,Wood,2.866666794,3,3500,MIL@POR,MIL,POR,,,
29773-84698,SF,Dzanan,Dzanan Musa,Musa,4.474999905,4,3500,BKN@PHO,BKN,PHO,,,
29773-84700,PF,Rodions,Rodions Kurucs,Kurucs,10.32499981,4,3500,BKN@PHO,BKN,PHO,,,
29773-15583,PG,Seth,Seth Curry,Curry,8.940000153,10,3500,MIL@POR,POR,MIL,,,
29773-9953,C,Ian,Ian Mahinmi,Mahinmi,11.70000022,7,3500,WAS@DAL,WAS,DAL,,,
29773-84706,PG,Devonte',Devonte' Graham,Graham,6.449999809,2,3500,ATL@CHA,CHA,ATL,,,
29773-67556,SG,Tyler,Tyler Dorsey,Dorsey,7.5,5,3500,ATL@CHA,ATL,CHA,,,
29773-15591,C,Miles,Miles Plumlee,Plumlee,10.31999969,5,3500,ATL@CHA,ATL,CHA,,,
29773-9448,SG,Jamal,Jamal Crawford,Crawford,6.287499905,8,3500,BKN@PHO,PHO,BKN,,,
29773-84717,SG,Anfernee,Anfernee Simons,Simons,1,2,3500,MIL@POR,POR,MIL,,,
29773-9968,SG,Jodie,Jodie Meeks,Meeks,10.45714302,77,3500,MIL@POR,MIL,POR,O,Suspension,
29773-67312,C,Thomas,Thomas Bryant,Bryant,6.96666654,3,3500,WAS@DAL,WAS,DAL,,,
29773-84725,PF,Kostas,Kostas Antetokounmpo,Antetokounmpo,0,0,3500,WAS@DAL,DAL,WAS,,,
29773-84726,PF,Ray,Ray Spalding,Spalding,0,1,3500,WAS@DAL,DAL,WAS,,,
29773-23801,SG,Nik,Nik Stauskas,Stauskas,15.65,10,3500,MIL@POR,POR,MIL,GTD,Quadriceps,
29773-84730,SG,J.P.,J.P. Macura,Macura,0,0,3500,ATL@CHA,CHA,ATL,,,
