ROT,Away Team,Home Team,Pace,AwayOE,HomeOE,pSpread,pTotal,Spread,Total,SpreadDelt,TotalDelt
701,CHI,IND,99.79,1.008433539,1.1,-9.137417191,210.4005828,-8.5,208.5,-0.637417191,1.900582809
703,ORL,MIA,97.2,1.099092783,1.087940891,1.083963939,212.5796731,-2,208.5,3.083963939,4.079673065
705,POR,DAL,95.91,1.164485213,1.144218445,1.943785721,221.4277678,-2,219,3.943785721,2.427767829
707,SAC,PHO,104.1,1.16,1.103676937,5.863230849,235.6487692,6,226,-0.136769151,9.648769151
709,SAS,UTA,98.54,1.08,1.13,-4.927,217.7734,-7,213.5,2.073,4.2734
