"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"32020-12342","PF","Al-Farouq","Al-Farouq Aminu","Aminu","24.1977783203125","45","5900","CLE@POR","POR","CLE","","","","",""
"32020-15946","SF","Harrison","Harrison Barnes","Barnes","26.58718011318109","39","5900","SA@DAL","DAL","SA","","","","",""
"32020-9556","SG","Eric","Eric Gordon","Gordon","23.128124237060547","32","5900","BKN@HOU","HOU","BKN","GTD","Knee","","",""
"32020-20640","SG","Jordan","Jordan Clarkson","Clarkson","25.46511627906977","43","5800","CLE@POR","CLE","POR","","","","",""
"32020-14522","SF","Nikola","Nikola Mirotic","Mirotic","31.235713413783483","28","5800","NO@GS","NO","GS","","","","",""
"32020-23716","SF","Kyle","Kyle Anderson","Anderson","24.60487775104802","41","5700","MIL@MEM","MEM","MIL","O","Ankle","","",""
"32020-23096","SG","Evan","Evan Fournier","Fournier","24.61666724795387","42","5600","ORL@DET","ORL","DET","","","","",""
"32020-19138","PG","Elfrid","Elfrid Payton","Payton","25.138460599459133","13","5600","NO@GS","NO","GS","","","","",""
"32020-14510","SG","Alec","Alec Burks","Burks","20.226828970560213","41","5500","CLE@POR","CLE","POR","","","","",""
"32020-9577","SF","Rudy","Rudy Gay","Gay","28","35","5500","SA@DAL","SA","DAL","","","","",""
"32020-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","27.38222113715278","45","5400","BKN@HOU","BKN","HOU","","","","",""
"32020-9621","C","Brook","Brook Lopez","Lopez","24.655812817950583","43","5400","MIL@MEM","MIL","MEM","","","","",""
"32020-16405","SG","Terrence","Terrence Ross","Ross","22.33023284202398","43","5300","ORL@DET","ORL","DET","","","","",""
"32020-14523","PG","Reggie","Reggie Jackson","Jackson","24.797619047619047","42","5300","ORL@DET","DET","ORL","","","","",""
"32020-80814","PG","Dennis","Dennis Smith Jr.","Smith Jr.","23.557141985212052","28","5300","SA@DAL","DAL","SA","GTD","Illness","","",""
"32020-42148","PF","Rondae","Rondae Hollis-Jefferson","Hollis-Jefferson","22.520588594324447","34","5200","BKN@HOU","BKN","HOU","GTD","Groin","","",""
"32020-12366","SF","Gordon","Gordon Hayward","Hayward","23.97948749248798","39","5100","TOR@BOS","BOS","TOR","","","","",""
"32020-20992","PF","Larry","Larry Nance Jr.","Nance Jr.","27.753846779847755","39","5000","CLE@POR","CLE","POR","O","Knee","","",""
