Game_Date,ROT,Away_Tm,Home_Tm,Proj_Pace,Proj_Away_OE,Proj_Home_OE,Proj_Spread,Proj_Total
11/4/2018,707,ORL,SAS,95.8,1.076,1.143,-6.4,212.6
11/4/2018,709,MEM,PHX,95.6,1.123,1.056,6.4,208.3
11/4/2018,711,MIN,POR,100.7,1.118,1.14,-2.2,227.4
11/4/2018,713,TOR,LAL,107.3,1.129,1.119,1.1,241.2
11/5/2018,501,HOU,IND,94.6,1.11,1.1,0.4,209.3
11/5/2018,503,MIA,DET,100.7,1.07,1.1,-2.8,218.9
11/5/2018,505,CLE,ORL,95.8,1.1,1.14,-3.8,214.4
11/5/2018,507,CHI,NYK,96.8,1.09,1.13,-3.7,214.1
11/5/2018,509,NOP,OKC,107.2,1.11,1.09,1.6,235.7
11/5/2018,511,BOS,DEN,96.7,1.07,1.09,-2.3,208.7
11/5/2018,513,TOR,UTA,98.6,1.07,1.07,0,211.4
11/5/2018,515,MEM,GSW,97.1,1.04,1.2,-15.9,217.5
11/5/2018,517,MIN,LAC,102.7,1.16,1.21,-4.7,243.4
11/6/2018,701,ATL,CHA,105.6,1.079,1.182,-10.8768,238.7616
11/6/2018,703,WAS,DAL,104.7,1.137,1.097,4.188,233.8998
11/6/2018,705,BKN,PHX,98.5,1.14,1.129,1.0835,223.4965
11/6/2018,707,MIL,POR,103.7,1.125,1.093,3.3184,230.0066
11/7/2018,501,DET,ORL,99.1,1.091,1.064,2.6757,213.5605
11/7/2018,503,OKC,CLE,98.8,1.124,1.131,-0.6916,222.794
11/7/2018,505,NYK,ATL,105,1.101,1.091,1.05,230.16
11/7/2018,507,SAS,MIA,97.4,1.101,1.142,-3.9934,218.4682
11/7/2018,509,DEN,MEM,91.4,1.122,1.069,4.8442,200.2574
11/7/2018,511,CHI,NOP,102.6,1.026,1.17,-14.7744,225.3096
11/7/2018,513,PHI,IND,101.4,1.074,1.067,0.7098,217.0974
11/7/2018,515,DAL,UTA,99,1.002,1.141,-13.761,212.157
11/7/2018,517,TOR,SAC,104,1.173,1.037,14.144,229.84
11/7/2018,519,MIN,LAL,106.9,1.155,1.171,-1.7104,248.6494
11/8/2018,701,HOU,OKC,97.8,1.174,1.065,10.6602,218.9742
11/8/2018,703,BOS,PHX,98.7,1.126,1.019,10.5609,211.7115
11/8/2018,705,LAC,POR,101.8,1.141,1.139,0.2036,232.104
11/8/2018,707,MIL,GSW,105.7,1.128,1.189,-6.4477,244.9069
11/9/2018,501,WAS,ORL,103.3,1.103,1.088,1.5495,226.3303
11/9/2018,503,CHA,PHI,102.8,1.063,1.138,-7.71,226.2628
11/9/2018,505,DET,ATL,107.1,1.099,1.044,5.8905,229.5153
11/9/2018,507,IND,MIA,96.3,1.08,1.069,1.0593,206.9487
11/9/2018,509,BKN,DEN,94.9,1.06,1.188,-12.1472,213.3352
11/9/2018,511,BOS,UTA,98.1,0.99,1.032,-4.1202,198.3582
11/9/2018,513,MIN,SAC,104.7,1.155,1.106,5.1303,236.7267
11/10/2018,701,NYK,TOR,97.5,1.003,1.208,-19.9875,215.5725
11/10/2018,703,MIL,LAC,105.8,1.152,1.152,0,243.7632
11/10/2018,705,PHX,NOP,103.6,1.046,1.135,-9.2204,225.9516
11/10/2018,707,CLE,CHI,96.1,1.085,1.141,-5.3816,213.9186
11/10/2018,709,WAS,MIA,101.9,1.091,1.119,-2.8532,225.199
11/10/2018,711,PHI,MEM,99.6,1.066,1.079,-1.2948,213.642
11/10/2018,713,BKN,GSW,98.7,1.102,1.173,-7.0077,224.5425
11/10/2018,715,HOU,SAS,95.3,1.157,1.107,4.765,215.7592
11/10/2018,717,OKC,DAL,100.6,1.094,1.093,0.1006,220.0122
11/10/2018,719,LAL,SAC,110.5,1.138,1.102,3.978,247.52
11/11/2018,501,CHA,DET,100.6,1.109,1.116,-0.7042,223.835
11/11/2018,503,IND,HOU,95.1,1.083,1.143,-5.706,211.6926
11/11/2018,505,ORL,NYK,98.1,1.074,1.09,-1.5696,212.2884
11/11/2018,507,MIL,DEN,101.1,1.113,1.133,-2.022,227.0706
11/11/2018,509,BOS,POR,97.7,1.087,1.082,0.4885,211.9113
11/11/2018,511,ATL,LAL,110.5,1.046,1.181,-14.9175,246.0835
11/12/2018,701,ORL,WAS,101.3,1.06,1.123,-6.3819,221.1379
11/12/2018,703,PHI,MIA,103.5,1.069,1.096,-2.7945,224.0775
11/12/2018,705,NOP,TOR,103.5,1.036,1.176,-14.49,228.942
11/12/2018,707,DAL,CHI,99.4,1.098,1.094,0.3976,217.8848
11/12/2018,709,UTA,MEM,94.3,1.079,1.048,2.9233,200.5761
11/12/2018,711,PHX,OKC,98.5,1.052,1.135,-8.1755,215.4195
11/12/2018,713,BKN,MIN,98.9,1.128,1.191,-6.2307,229.3491
11/12/2018,715,SAS,SAC,102.2,1.113,1.078,3.577,223.9202
11/12/2018,717,GSW,LAC,102.8,1.134,1.151,-1.7476,234.898
11/13/2018,501,CHA,CLE,96.3,1.172,1.079,8.9559,216.7713
11/13/2018,503,HOU,DEN,95.4,1.121,1.123,-0.1908,214.0776
11/13/2018,505,ATL,GSW,104.7,1.026,1.182,-16.3332,231.1776
