teams,opp,date,opener.odds,opener.juice,pinn.odds,pinn.juice,opener,totals,totalsjuice
Detroit,Milwaukee,2016-10-30,-7.0,-115.0,-7.5,-102.0,195.0,197.5,-104.0
L.A. Lakers,Oklahoma City,2016-10-30,8.5,-110.0,8.5,-107.0,213.0,216.0,101.0
Oklahoma City,L.A. Lakers,2016-10-30,-8.5,-110.0,-8.5,-103.0,213.0,216.0,-111.0
Washington,Memphis,2016-10-30,1.5,-110.0,-3.5,-105.0,203.0,204.0,-113.0
Memphis,Washington,2016-10-30,-1.5,-110.0,3.5,-105.0,203.0,204.0,102.0
Dallas,Houston,2016-10-30,6.0,-110.0,4.5,-103.0,216.0,214.5,-101.0
Houston,Dallas,2016-10-30,-6.0,-110.0,-4.5,-107.0,216.0,214.5,-109.0
Sacramento,Atlanta,2016-10-31,7.0,-110.0,7.0,-105.0,201.5,203.0,-100.0
Atlanta,Sacramento,2016-10-31,-7.0,-110.0,-7.0,-105.0,201.5,203.0,-110.0
Denver,Toronto,2016-10-31,7.0,-105.0,6.5,102.0,203.0,207.0,-105.0
Toronto,Denver,2016-10-31,-7.0,-115.0,-6.5,-113.0,203.0,207.0,-105.0
Chicago,Brooklyn,2016-10-31,-5.5,-110.0,-6.0,-103.0,210.5,209.5,-108.0
Brooklyn,Chicago,2016-10-31,5.5,-110.0,6.0,-107.0,210.5,209.5,-102.0
Phoenix,L.A. Clippers,2016-10-31,9.0,-105.0,12.0,-103.0,210.5,205.0,-107.0
L.A. Clippers,Phoenix,2016-10-31,-9.0,-115.0,-12.0,-107.0,210.5,205.0,-103.0
Houston,Cleveland,2016-11-01,8.5,-110.0,9.5,-104.0,218.0,217.0,-103.0
Cleveland,Houston,2016-11-01,-8.5,-110.0,-9.5,-106.0,218.0,217.0,-107.0
L.A. Lakers,Indiana,2016-11-01,9.0,-110.0,9.0,-104.0,213.0,214.0,-102.0
Indiana,L.A. Lakers,2016-11-01,-9.0,-110.0,-9.0,-106.0,213.0,214.0,-108.0
Orlando,Philadelphia,2016-11-01,-4.5,-110.0,-5.0,-108.0,201.0,198.5,-105.0
Philadelphia,Orlando,2016-11-01,4.5,-110.0,5.0,-102.0,201.0,198.5,-105.0
New York,Detroit,2016-11-01,3.5,-110.0,4.0,-110.0,197.0,202.5,-110.0
Detroit,New York,2016-11-01,-3.5,-110.0,-4.0,-100.0,197.0,202.5,-100.0
Sacramento,Miami,2016-11-01,3.5,-110.0,3.5,-104.0,198.0,199.5,-107.0
Miami,Sacramento,2016-11-01,-3.5,-110.0,-3.5,-106.0,198.0,199.5,-103.0
Memphis,Minnesota,2016-11-01,5.0,-110.0,4.5,-106.0,201.0,198.5,-105.0
Minnesota,Memphis,2016-11-01,-5.0,-110.0,-4.5,-104.0,201.0,198.5,-105.0
Milwaukee,New Orleans,2016-11-01,2.5,-110.0,3.5,-104.0,204.0,204.5,-109.0
New Orleans,Milwaukee,2016-11-01,-2.5,-110.0,-3.5,-106.0,204.0,204.5,-101.0
Utah,San Antonio,2016-11-01,11.5,-110.0,9.5,-104.0,189.5,186.0,-111.0
San Antonio,Utah,2016-11-01,-11.5,-110.0,-9.5,-106.0,189.5,186.0,101.0
Golden State,Portland,2016-11-01,-7.0,-110.0,-5.5,-105.0,226.5,226.0,-111.0
Portland,Golden State,2016-11-01,7.0,-110.0,5.5,-105.0,226.5,226.0,101.0
Toronto,Washington,2016-11-02,0.0,-110.0,1.0,-105.0,208.5,205.0,102.0
Washington,Toronto,2016-11-02,0.0,-110.0,-1.0,-105.0,208.5,205.0,-113.0
Philadelphia,Charlotte,2016-11-02,11.5,-110.0,13.0,-107.0,197.5,197.5,-100.0
Charlotte,Philadelphia,2016-11-02,-11.5,-110.0,-13.0,-103.0,197.5,197.5,-110.0
L.A. Lakers,Atlanta,2016-11-02,11.5,-110.0,12.0,-105.0,207.5,205.0,-110.0
Atlanta,L.A. Lakers,2016-11-02,-11.5,-110.0,-12.0,-105.0,207.5,205.0,100.0
Detroit,Brooklyn,2016-11-02,-4.0,-110.0,-4.0,-101.0,204.5,204.0,-110.0
Brooklyn,Detroit,2016-11-02,4.0,-110.0,4.0,-109.0,204.5,204.0,-100.0
Houston,New York,2016-11-02,1.5,-110.0,1.0,-103.0,215.0,218.0,-110.0
New York,Houston,2016-11-02,-1.5,-110.0,-1.0,-107.0,215.0,218.0,-100.0
New Orleans,Memphis,2016-11-02,6.0,-110.0,5.0,-108.0,204.0,206.5,-110.0
Memphis,New Orleans,2016-11-02,-6.0,-110.0,-5.0,-102.0,204.0,206.5,-100.0
Chicago,Boston,2016-11-02,5.0,-110.0,3.0,102.0,209.0,207.5,-108.0
Boston,Chicago,2016-11-02,-5.0,-110.0,-3.0,-113.0,209.0,207.5,-102.0
Dallas,Utah,2016-11-02,4.5,-110.0,3.5,-108.0,188.0,186.0,-113.0
Utah,Dallas,2016-11-02,-4.5,-110.0,-3.5,-102.0,188.0,186.0,102.0
Portland,Phoenix,2016-11-02,-3.5,-110.0,-3.0,-105.0,215.5,216.5,-105.0
Phoenix,Portland,2016-11-02,3.5,-110.0,3.0,-105.0,215.5,216.5,-105.0
Oklahoma City,L.A. Clippers,2016-11-02,5.0,-110.0,7.5,-113.0,207.5,208.5,-107.0
L.A. Clippers,Oklahoma City,2016-11-02,-5.0,-110.0,-7.5,102.0,207.5,208.5,-103.0
Sacramento,Orlando,2016-11-03,4.0,-110.0,-1.0,-103.0,203.0,199.0,100.0
Orlando,Sacramento,2016-11-03,-4.0,-110.0,1.0,-107.0,203.0,199.0,-110.0
Denver,Minnesota,2016-11-03,4.0,-110.0,3.5,-101.0,205.0,204.5,-103.0
Minnesota,Denver,2016-11-03,-4.0,-110.0,-3.5,-109.0,205.0,204.5,-107.0
Boston,Cleveland,2016-11-03,7.5,-110.0,10.5,102.0,210.0,207.0,-115.0
Cleveland,Boston,2016-11-03,-7.5,-110.0,-10.5,-113.0,210.0,207.0,104.0
Indiana,Milwaukee,2016-11-03,-3.5,-110.0,-3.0,-109.0,207.0,211.0,-114.0
Milwaukee,Indiana,2016-11-03,3.5,-110.0,3.0,-101.0,207.0,211.0,103.0
Oklahoma City,Golden State,2016-11-03,10.5,-110.0,12.0,-100.0,223.0,223.5,-103.0
Golden State,Oklahoma City,2016-11-03,-10.5,-110.0,-12.0,-110.0,223.0,223.5,-107.0
Atlanta,Washington,2016-11-04,-1.0,-110.0,1.5,-108.0,207.0,205.5,102.0
Washington,Atlanta,2016-11-04,1.0,-110.0,-1.5,-102.0,207.0,205.5,-113.0
Miami,Toronto,2016-11-04,8.5,-110.0,7.0,-105.0,197.0,202.5,-110.0
Toronto,Miami,2016-11-04,-8.5,-110.0,-7.0,-105.0,197.0,202.5,-100.0
Charlotte,Brooklyn,2016-11-04,-5.0,-110.0,-6.5,-114.0,205.5,203.5,-105.0
Brooklyn,Charlotte,2016-11-04,5.0,-110.0,6.5,103.0,205.5,203.5,-105.0
Phoenix,New Orleans,2016-11-04,1.5,-110.0,2.5,-108.0,215.0,210.5,-107.0
New Orleans,Phoenix,2016-11-04,-1.5,-110.0,-2.5,-102.0,215.0,210.5,-103.0
New York,Chicago,2016-11-04,8.0,-110.0,7.5,-109.0,204.5,210.0,-102.0
Chicago,New York,2016-11-04,-8.0,-110.0,-7.5,-101.0,204.5,210.0,-108.0
L.A. Clippers,Memphis,2016-11-04,-3.5,-110.0,-5.5,-113.0,199.0,198.0,-103.0
Memphis,L.A. Clippers,2016-11-04,3.5,-110.0,5.5,102.0,199.0,198.0,-107.0
Portland,Dallas,2016-11-04,1.5,-110.0,-2.0,-103.0,208.0,208.0,-110.0
Dallas,Portland,2016-11-04,-1.5,-110.0,2.0,-107.0,208.0,208.0,100.0
San Antonio,Utah,2016-11-04,-5.5,-110.0,-3.5,-105.0,186.0,184.0,-105.0
Utah,San Antonio,2016-11-04,5.5,-110.0,3.5,-105.0,186.0,184.0,-105.0
Golden State,L.A. Lakers,2016-11-04,-11.0,-110.0,-11.5,100.0,227.0,229.0,-102.0
L.A. Lakers,Golden State,2016-11-04,11.0,-110.0,11.5,-110.0,227.0,229.0,-108.0
Minnesota,Oklahoma City,2016-11-05,6.5,-110.0,5.0,-110.0,207.5,209.5,-100.0
Oklahoma City,Minnesota,2016-11-05,-6.5,-110.0,-5.0,-100.0,207.5,209.5,-110.0
Cleveland,Philadelphia,2016-11-05,-12.0,-110.0,-12.5,-100.0,203.5,209.0,-105.0
Philadelphia,Cleveland,2016-11-05,12.0,-110.0,12.5,-110.0,203.5,209.0,-105.0
Washington,Orlando,2016-11-05,2.0,-110.0,6.5,-107.0,205.5,201.0,-104.0
Orlando,Washington,2016-11-05,-2.0,-110.0,-6.5,-103.0,205.5,201.0,-106.0
Chicago,Indiana,2016-11-05,3.0,-110.0,3.5,-103.0,212.5,209.5,-106.0
Indiana,Chicago,2016-11-05,-3.0,-110.0,-3.5,-107.0,212.5,209.5,-104.0
Denver,Detroit,2016-11-05,4.0,-110.0,4.5,-107.0,202.0,201.0,-106.0
Detroit,Denver,2016-11-05,-4.0,-110.0,-4.5,-103.0,202.0,201.0,-104.0
Houston,Atlanta,2016-11-05,3.5,-110.0,3.0,102.0,219.0,217.5,-108.0
Atlanta,Houston,2016-11-05,-3.5,-110.0,-3.0,-113.0,219.0,217.5,-102.0
Sacramento,Milwaukee,2016-11-05,4.0,-110.0,3.5,-103.0,204.0,202.5,-105.0
Milwaukee,Sacramento,2016-11-05,-4.0,-110.0,-3.5,-107.0,204.0,202.5,-105.0
L.A. Clippers,San Antonio,2016-11-05,6.5,-110.0,4.5,-103.0,197.0,197.5,-114.0
San Antonio,L.A. Clippers,2016-11-05,-6.5,-110.0,-4.5,-107.0,197.0,197.5,103.0
Utah,New York,2016-11-06,1.0,-110.0,-2.5,-100.0,191.5,193.5,-104.0
New York,Utah,2016-11-06,-1.0,-110.0,2.5,-110.0,191.5,193.5,-106.0
Portland,Memphis,2016-11-06,-1.0,-110.0,1.0,-109.0,205.5,204.0,-108.0
Memphis,Portland,2016-11-06,1.0,-110.0,-1.0,-101.0,205.5,204.0,-102.0
Sacramento,Toronto,2016-11-06,9.5,-110.0,7.0,-100.0,200.5,197.5,-107.0
Toronto,Sacramento,2016-11-06,-9.5,-110.0,-7.0,-110.0,200.5,197.5,-103.0
Milwaukee,Dallas,2016-11-06,2.5,-110.0,3.0,-105.0,201.5,199.0,-106.0
Dallas,Milwaukee,2016-11-06,-2.5,-110.0,-3.0,-105.0,201.5,199.0,-104.0
Denver,Boston,2016-11-06,8.0,-110.0,7.0,-113.0,210.5,212.5,-110.0
Boston,Denver,2016-11-06,-8.0,-110.0,-7.0,102.0,210.5,212.5,-100.0
Phoenix,L.A. Lakers,2016-11-06,2.5,-110.0,4.0,-105.0,218.0,216.0,-105.0
L.A. Lakers,Phoenix,2016-11-06,-2.5,-110.0,-4.0,-105.0,218.0,216.0,-105.0
Utah,Philadelphia,2016-11-07,-7.0,-110.0,-5.0,-102.0,192.0,189.5,-105.0
Philadelphia,Utah,2016-11-07,7.0,-110.0,5.0,-108.0,192.0,189.5,-105.0
Houston,Washington,2016-11-07,-1.0,-110.0,1.0,-108.0,224.5,219.0,-110.0
Washington,Houston,2016-11-07,1.0,-110.0,-1.0,-102.0,224.5,219.0,-100.0
Indiana,Charlotte,2016-11-07,3.5,-110.0,2.5,-105.0,209.5,206.0,-100.0
Charlotte,Indiana,2016-11-07,-3.5,-110.0,-2.5,-105.0,209.5,206.0,-110.0
Miami,Oklahoma City,2016-11-07,7.0,-110.0,5.5,-105.0,201.0,203.0,-102.0
Oklahoma City,Miami,2016-11-07,-7.0,-110.0,-5.5,-105.0,201.0,203.0,-108.0
Orlando,Chicago,2016-11-07,7.5,-110.0,7.0,-103.0,205.5,199.0,-102.0
Chicago,Orlando,2016-11-07,-7.5,-110.0,-6.5,-110.0,205.5,199.0,-108.0
Detroit,L.A. Clippers,2016-11-07,8.5,-110.0,8.5,-110.0,198.5,197.0,-101.0
L.A. Clippers,Detroit,2016-11-07,-8.5,-110.0,-8.5,-100.0,198.5,197.0,-109.0
New Orleans,Golden State,2016-11-07,16.5,-110.0,17.0,-105.0,225.5,221.0,100.0
Golden State,New Orleans,2016-11-07,-16.5,-110.0,-17.0,-105.0,225.5,221.0,-110.0
Atlanta,Cleveland,2016-11-08,9.0,-110.0,7.5,102.0,209.5,208.0,-102.0
Cleveland,Atlanta,2016-11-08,-9.0,-110.0,-7.5,-113.0,209.5,208.0,-108.0
Minnesota,Brooklyn,2016-11-08,-4.5,-110.0,-4.5,-105.0,206.0,209.5,102.0
Brooklyn,Minnesota,2016-11-08,4.5,-110.0,4.5,-105.0,206.0,209.5,-113.0
Denver,Memphis,2016-11-08,2.0,-110.0,4.0,-105.0,201.0,202.0,-104.0
Memphis,Denver,2016-11-08,-2.0,-110.0,-4.0,-105.0,201.0,202.0,-106.0
Phoenix,Portland,2016-11-08,8.5,-110.0,8.5,-107.0,215.5,219.5,-101.0
Portland,Phoenix,2016-11-08,-8.5,-110.0,-8.5,-103.0,215.5,219.5,-109.0
New Orleans,Sacramento,2016-11-08,5.5,-110.0,6.5,-106.0,206.0,205.0,101.0
Sacramento,New Orleans,2016-11-08,-5.5,-110.0,-6.5,-104.0,206.0,205.0,-111.0
Dallas,L.A. Lakers,2016-11-08,4.5,-110.0,4.5,-114.0,205.5,203.0,-110.0
L.A. Lakers,Dallas,2016-11-08,-4.5,-110.0,-4.5,103.0,205.5,203.0,100.0
Brooklyn,New York,2016-11-09,8.0,-105.0,8.0,-113.0,212.5,215.5,102.0
New York,Brooklyn,2016-11-09,-8.0,-115.0,-8.0,102.0,212.5,215.5,-113.0
Philadelphia,Indiana,2016-11-09,12.5,-110.0,11.5,-107.0,208.5,212.5,-100.0
Indiana,Philadelphia,2016-11-09,-12.5,-110.0,-11.5,-103.0,208.5,212.5,-110.0
Utah,Charlotte,2016-11-09,2.0,-110.0,3.0,-100.0,193.5,193.0,-102.0
Charlotte,Utah,2016-11-09,-2.0,-110.0,-3.0,-110.0,193.5,193.0,-108.0
Boston,Washington,2016-11-09,-1.5,-115.0,1.5,-100.0,215.0,212.5,-100.0
Washington,Boston,2016-11-09,1.5,-105.0,-1.5,-110.0,215.0,212.5,-110.0
Minnesota,Orlando,2016-11-09,2.0,-110.0,2.5,-103.0,199.5,201.0,-106.0
Orlando,Minnesota,2016-11-09,-2.0,-110.0,-2.5,-107.0,199.5,201.0,-104.0
Chicago,Atlanta,2016-11-09,4.0,-110.0,3.5,-103.0,203.5,202.5,-108.0
Atlanta,Chicago,2016-11-09,-4.0,-110.0,-3.5,-107.0,203.5,202.5,-102.0
Toronto,Oklahoma City,2016-11-09,3.5,-110.0,3.0,-105.0,202.0,203.5,-102.0
Oklahoma City,Toronto,2016-11-09,-3.5,-110.0,-3.0,-105.0,202.0,203.5,-108.0
Detroit,Phoenix,2016-11-09,1.0,-110.0,-4.5,-108.0,205.5,205.5,-112.0
Phoenix,Detroit,2016-11-09,-1.0,-110.0,4.5,-102.0,205.5,205.5,102.0
Houston,San Antonio,2016-11-09,7.5,-110.0,8.5,-103.0,210.5,211.5,-102.0
San Antonio,Houston,2016-11-09,-7.5,-110.0,-8.5,-107.0,210.5,211.5,-108.0
Portland,L.A. Clippers,2016-11-09,8.5,-110.0,11.0,-108.0,205.0,211.0,-102.0
L.A. Clippers,Portland,2016-11-09,-8.5,-110.0,-11.0,-102.0,205.0,211.0,-108.0
Dallas,Golden State,2016-11-09,16.0,-110.0,18.0,-103.0,210.5,206.0,-105.0
Golden State,Dallas,2016-11-09,-16.0,-110.0,-18.0,-107.0,210.5,206.0,-105.0
New Orleans,Milwaukee,2016-11-10,6.5,-110.0,5.5,-110.0,209.0,207.0,-110.0
Milwaukee,New Orleans,2016-11-10,-6.5,-110.0,-5.5,-100.0,209.0,207.0,100.0
Chicago,Miami,2016-11-10,0.0,-110.0,1.5,-105.0,198.5,201.0,-104.0
Miami,Chicago,2016-11-10,0.0,-110.0,-1.5,-105.0,198.5,201.0,-106.0
Golden State,Denver,2016-11-10,-5.0,-110.0,-6.5,-110.0,220.5,222.5,-107.0
Denver,Golden State,2016-11-10,5.0,-110.0,6.5,-100.0,220.5,222.5,-103.0
L.A. Lakers,Sacramento,2016-11-10,3.5,-110.0,5.5,-110.0,209.5,211.0,-105.0
Sacramento,L.A. Lakers,2016-11-10,-3.5,-110.0,-5.5,-100.0,209.5,211.0,-105.0
Cleveland,Washington,2016-11-11,-6.5,-110.0,-7.5,-105.0,208.5,211.0,-113.0
Washington,Cleveland,2016-11-11,6.5,-110.0,7.5,-105.0,208.5,211.0,102.0
Toronto,Charlotte,2016-11-11,3.0,-110.0,-1.0,-105.0,198.0,203.5,100.0
Charlotte,Toronto,2016-11-11,-3.0,-110.0,1.0,-105.0,198.0,203.5,-110.0
Indiana,Philadelphia,2016-11-11,-5.0,-110.0,-5.5,-105.0,212.5,212.5,-102.0
Philadelphia,Indiana,2016-11-11,5.0,-110.0,5.5,-105.0,212.5,212.5,-108.0
Utah,Orlando,2016-11-11,-4.0,-110.0,-5.0,-100.0,192.0,191.0,-102.0
Orlando,Utah,2016-11-11,4.0,-110.0,5.0,-110.0,192.0,191.0,-108.0
New York,Boston,2016-11-11,6.0,-110.0,5.0,-109.0,216.5,215.0,-102.0
Boston,New York,2016-11-11,-6.0,-110.0,-5.0,-101.0,216.5,215.0,-108.0
L.A. Clippers,Oklahoma City,2016-11-11,-2.0,-110.0,-4.5,-103.0,202.0,206.5,102.0
Oklahoma City,L.A. Clippers,2016-11-11,2.0,-110.0,4.5,-107.0,202.0,206.5,-113.0
Detroit,San Antonio,2016-11-11,10.5,-110.0,9.0,-106.0,196.0,194.5,-103.0
San Antonio,Detroit,2016-11-11,-10.5,-110.0,-9.0,-104.0,196.0,194.5,-107.0
Sacramento,Portland,2016-11-11,6.0,-105.0,7.0,-113.0,210.0,208.0,-100.0
Portland,Sacramento,2016-11-11,-6.0,-115.0,-7.0,102.0,210.0,208.0,-110.0
L.A. Lakers,New Orleans,2016-11-12,1.5,-110.0,1.0,-109.0,211.5,217.5,102.0
New Orleans,L.A. Lakers,2016-11-12,-1.5,-110.0,-1.0,-101.0,211.5,217.5,-113.0
Boston,Indiana,2016-11-12,4.0,-110.0,-1.5,-106.0,216.0,212.5,-105.0
Indiana,Boston,2016-11-12,-4.0,-110.0,1.5,-104.0,216.0,212.5,-105.0
Philadelphia,Atlanta,2016-11-12,13.5,-110.0,15.0,-105.0,206.0,206.5,-108.0
Atlanta,Philadelphia,2016-11-12,-13.5,-110.0,-15.0,-105.0,206.0,206.5,-102.0
New York,Toronto,2016-11-12,8.0,-110.0,7.5,-106.0,207.0,208.5,-105.0
Toronto,New York,2016-11-12,-8.0,-110.0,-7.5,-104.0,207.0,208.5,-105.0
L.A. Clippers,Minnesota,2016-11-12,-5.5,-110.0,-5.0,-103.0,204.0,209.0,-105.0
Minnesota,L.A. Clippers,2016-11-12,5.5,-110.0,5.0,-107.0,204.0,209.0,-105.0
Utah,Miami,2016-11-12,-2.5,-110.0,-1.5,-108.0,187.5,186.0,-113.0
Miami,Utah,2016-11-12,2.5,-110.0,1.5,-102.0,187.5,186.0,102.0
Washington,Chicago,2016-11-12,9.0,-110.0,10.0,-107.0,203.5,200.0,100.0
Chicago,Washington,2016-11-12,-9.0,-110.0,-10.0,-103.0,203.5,200.0,-110.0
San Antonio,Houston,2016-11-12,-3.5,-110.0,-2.0,-105.0,209.0,208.0,-113.0
Houston,San Antonio,2016-11-12,3.5,-110.0,2.0,-105.0,209.0,208.0,102.0
Memphis,Milwaukee,2016-11-12,2.0,-110.0,3.0,-113.0,203.0,202.0,-102.0
Milwaukee,Memphis,2016-11-12,-2.0,-110.0,-3.0,102.0,203.0,202.0,-108.0
Detroit,Denver,2016-11-12,3.5,-110.0,5.5,-105.0,202.5,202.5,-113.0
Denver,Detroit,2016-11-12,-3.5,-110.0,-5.5,-105.0,202.5,202.5,102.0
Brooklyn,Phoenix,2016-11-12,6.0,-110.0,5.5,-103.0,215.5,218.0,-110.0
Phoenix,Brooklyn,2016-11-12,-6.0,-110.0,-5.5,-107.0,215.5,218.0,-100.0
