teams,opp,date,opener.odds,opener.juice,pinn.odds,pinn.juice,opener,totals,totalsjuice
New York,Cleveland,2016-10-25,9.5,-110.0,9.5,-110.0,198.5,206.0,-105.0
Cleveland,New York,2016-10-25,-9.5,-110.0,-9.5,100.0,198.5,206.0,-105.0
Utah,Portland,2016-10-25,6.0,-105.0,6.0,-106.0,192.0,192.5,-107.0
Portland,Utah,2016-10-25,-6.0,-115.0,-6.0,-104.0,192.0,192.5,-103.0
San Antonio,Golden State,2016-10-25,8.0,-105.0,8.5,-110.0,211.0,211.5,-109.0
Golden State,San Antonio,2016-10-25,-8.0,-115.0,-8.5,100.0,211.0,211.5,-101.0
Dallas,Indiana,2016-10-26,5.0,-110.0,5.5,-102.0,199.5,205.0,102.0
Indiana,Dallas,2016-10-26,-5.0,-110.0,-5.5,-108.0,199.5,205.0,-113.0
Miami,Orlando,2016-10-26,4.0,-110.0,3.0,-105.0,204.0,199.0,-104.0
Orlando,Miami,2016-10-26,-4.0,-110.0,-3.0,-105.0,204.0,199.0,-106.0
Brooklyn,Boston,2016-10-26,14.0,-110.0,11.5,-107.0,207.5,212.5,-108.0
Boston,Brooklyn,2016-10-26,-14.0,-110.0,-11.5,-103.0,207.5,212.5,-102.0
Detroit,Toronto,2016-10-26,7.0,-110.0,6.5,-102.0,201.0,196.5,-105.0
Toronto,Detroit,2016-10-26,-7.0,-110.0,-6.5,-108.0,201.0,196.5,-105.0
Oklahoma City,Philadelphia,2016-10-26,-7.5,-110.0,-9.0,105.0,213.5,209.0,-107.0
Philadelphia,Oklahoma City,2016-10-26,7.5,-110.0,9.0,-116.0,213.5,209.0,-103.0
Minnesota,Memphis,2016-10-26,3.5,-110.0,-1.5,100.0,201.0,199.5,-104.0
Memphis,Minnesota,2016-10-26,-3.5,-110.0,1.5,-110.0,201.0,199.5,-106.0
Charlotte,Milwaukee,2016-10-26,0.0,-110.0,-1.5,-101.0,199.5,195.5,-105.0
Milwaukee,Charlotte,2016-10-26,0.0,-110.0,1.5,-109.0,199.5,195.5,-105.0
Denver,New Orleans,2016-10-26,4.0,-110.0,1.5,-108.0,209.0,206.5,-105.0
New Orleans,Denver,2016-10-26,-4.0,-110.0,-1.5,-102.0,209.0,206.5,-105.0
Sacramento,Phoenix,2016-10-26,3.0,-110.0,3.0,-108.0,215.0,211.5,-102.0
Phoenix,Sacramento,2016-10-26,-3.0,-110.0,-3.0,-102.0,215.0,211.5,-108.0
Houston,L.A. Lakers,2016-10-26,-5.0,-110.0,-6.0,-105.0,216.5,224.5,-108.0
L.A. Lakers,Houston,2016-10-26,5.0,-110.0,6.0,-105.0,216.5,224.5,-102.0
Washington,Atlanta,2016-10-27,3.0,-105.0,4.0,-107.0,206.5,202.5,-103.0
Atlanta,Washington,2016-10-27,-3.0,-115.0,-4.0,-103.0,206.5,202.5,-107.0
Boston,Chicago,2016-10-27,-3.0,-110.0,1.0,-108.0,210.5,209.0,-105.0
Chicago,Boston,2016-10-27,3.0,-110.0,-1.0,-102.0,210.5,209.0,-105.0
San Antonio,Sacramento,2016-10-27,-6.0,-110.0,-8.0,100.0,209.0,203.0,-105.0
Sacramento,San Antonio,2016-10-27,6.0,-110.0,8.0,-110.0,209.0,203.0,-105.0
L.A. Clippers,Portland,2016-10-27,-1.5,-110.0,-2.5,-107.0,208.5,209.5,-108.0
Portland,L.A. Clippers,2016-10-27,1.5,-110.0,2.5,-103.0,208.5,209.5,-102.0
Cleveland,Toronto,2016-10-28,-3.0,-110.0,-2.5,-107.0,202.5,206.0,-102.0
Toronto,Cleveland,2016-10-28,3.0,-110.0,2.5,-103.0,202.5,206.0,-108.0
Orlando,Detroit,2016-10-28,3.5,-110.0,4.0,-103.0,202.0,195.0,-107.0
Detroit,Orlando,2016-10-28,-3.5,-110.0,-4.0,-107.0,202.0,195.0,-103.0
Indiana,Brooklyn,2016-10-28,-6.0,-110.0,-6.0,103.0,209.5,219.5,-105.0
Brooklyn,Indiana,2016-10-28,6.0,-110.0,6.0,-114.0,209.5,219.5,-105.0
Phoenix,Oklahoma City,2016-10-28,9.5,-110.0,8.0,-108.0,213.0,209.5,102.0
Oklahoma City,Phoenix,2016-10-28,-9.5,-110.0,-8.0,-102.0,213.0,209.5,-113.0
Charlotte,Miami,2016-10-28,3.0,-110.0,-1.0,-105.0,196.5,197.0,-106.0
Miami,Charlotte,2016-10-28,-3.0,-110.0,1.0,-105.0,196.5,197.0,-104.0
Houston,Dallas,2016-10-28,2.0,-110.0,-1.5,-113.0,224.0,218.5,-107.0
Dallas,Houston,2016-10-28,-2.0,-110.0,1.5,102.0,224.0,218.5,-103.0
L.A. Lakers,Utah,2016-10-28,8.5,-110.0,9.5,-108.0,201.5,200.5,-113.0
Utah,L.A. Lakers,2016-10-28,-8.5,-110.0,-9.5,-102.0,201.5,200.5,102.0
Golden State,New Orleans,2016-10-28,-9.5,-110.0,-12.0,-108.0,216.0,223.5,-110.0
New Orleans,Golden State,2016-10-28,9.5,-110.0,12.0,-102.0,216.0,223.5,-100.0
Atlanta,Philadelphia,2016-10-29,-6.5,-110.0,-8.0,-108.0,201.0,202.0,-105.0
Philadelphia,Atlanta,2016-10-29,6.5,-110.0,8.0,-102.0,201.0,202.0,-105.0
Boston,Charlotte,2016-10-29,-3.0,-110.0,-3.0,-100.0,204.5,202.5,-108.0
Charlotte,Boston,2016-10-29,3.0,-110.0,3.0,-110.0,204.5,202.5,-102.0
Memphis,New York,2016-10-29,4.0,-110.0,2.0,-102.0,196.5,199.0,-110.0
New York,Memphis,2016-10-29,-4.0,-110.0,-2.0,-108.0,196.5,199.0,-100.0
Orlando,Cleveland,2016-10-29,9.5,-110.0,11.0,-107.0,208.0,204.0,101.0
Cleveland,Orlando,2016-10-29,-9.5,-110.0,-11.0,-103.0,208.0,204.0,-111.0
New Orleans,San Antonio,2016-10-29,13.5,-110.0,13.5,-105.0,206.5,204.5,-103.0
San Antonio,New Orleans,2016-10-29,-13.5,-110.0,-13.5,-105.0,206.5,204.5,-107.0
Brooklyn,Milwaukee,2016-10-29,7.0,-110.0,6.5,-103.0,208.5,205.0,-108.0
Milwaukee,Brooklyn,2016-10-29,-7.0,-110.0,-6.5,-107.0,208.5,205.0,-102.0
Indiana,Chicago,2016-10-29,3.5,-110.0,3.5,-109.0,208.0,209.5,-105.0
Chicago,Indiana,2016-10-29,-3.5,-110.0,-3.5,-101.0,208.0,209.5,-105.0
Portland,Denver,2016-10-29,1.5,-110.0,1.5,-113.0,212.5,211.5,-110.0
Denver,Portland,2016-10-29,-1.5,-110.0,-1.5,102.0,212.5,211.5,-100.0
Minnesota,Sacramento,2016-10-29,1.0,-110.0,-1.0,-103.0,208.0,202.5,-113.0
Sacramento,Minnesota,2016-10-29,-1.0,-110.0,1.0,-107.0,208.0,202.5,102.0
Utah,L.A. Clippers,2016-10-30,8.0,-110.0,7.5,-106.0,195.0,189.5,-110.0
L.A. Clippers,Utah,2016-10-30,-8.0,-110.0,-7.5,-104.0,195.0,189.5,-100.0
San Antonio,Miami,2016-10-30,-7.0,-110.0,-6.5,-104.0,198.0,193.5,-115.0
Miami,San Antonio,2016-10-30,7.0,-110.0,6.5,-106.0,198.0,193.5,104.0
Golden State,Phoenix,2016-10-30,-11.0,-115.0,-11.5,-110.0,222.0,226.5,-104.0
Phoenix,Golden State,2016-10-30,11.0,-105.0,11.5,-100.0,222.0,226.5,-106.0
Milwaukee,Detroit,2016-10-30,7.0,-105.0,7.5,-108.0,195.0,197.5,-106.0
